iter	RMSE
0	1303.148091
1	1294.250101
2	1285.658355
3	1276.44591
4	1267.882891
5	1259.339026
6	1250.705452
7	1242.219036
8	1234.314481
9	1225.384028
10	1216.569873
11	1208.504715
12	1199.751712
13	1191.844177
14	1183.462397
15	1175.62223
16	1167.759594
17	1159.774076
18	1152.38324
19	1145.09924
20	1136.876167
21	1129.84088
22	1122.227698
23	1114.852797
24	1107.015808
25	1099.229689
26	1091.79009
27	1084.665006
28	1077.427703
29	1070.390709
30	1062.842816
31	1055.547193
32	1049.122498
33	1043.17336
34	1036.543853
35	1029.595879
36	1022.71747
37	1016.502449
38	1009.95564
39	1003.590483
40	996.9260405
41	991.3582709
42	984.8991653
43	978.5621547
44	972.2212732
45	965.3480917
46	959.7272302
47	954.2013685
48	948.2628034
49	942.1927414
50	935.7449567
51	929.6783316
52	923.5505649
53	917.9313172
54	912.569436
55	906.8555398
56	900.75435
57	894.9033827
58	889.5613723
59	883.8808269
60	878.2042981
61	872.5017725
62	867.0201282
63	862.0202585
64	856.3733096
65	851.4511243
66	845.6875881
67	839.9500033
68	834.2811079
69	828.827597
70	823.5075186
71	817.9641056
72	812.9115488
73	807.365905
74	802.3189547
75	797.1211645
76	791.891562
77	787.0814429
78	782.5848054
79	777.8231618
80	773.2186948
81	768.7437454
82	763.8195852
83	759.015936
84	754.0503153
85	749.2902129
86	745.2114044
87	741.0400503
88	736.6354601
89	732.1672393
90	727.5918008
91	723.008928
92	718.7261445
93	714.6726824
94	710.3746968
95	706.2035576
96	701.7881999
97	697.7379259
98	693.6286406
99	689.5822623
100	685.7046549
101	681.5862963
102	677.786442
103	673.7634143
104	669.7671973
105	665.7629288
106	661.9467037
107	657.8358278
108	654.1923084
109	650.1655019
110	646.3399773
111	642.5496577
112	638.6371935
113	634.8797279
114	631.5024883
115	627.7339178
116	624.3902241
117	620.810178
118	617.6089733
119	614.0383647
120	610.6952381
121	607.3148672
122	603.9884947
123	600.3724609
124	596.8199019
125	593.4725866
126	589.9951828
127	586.5806345
128	583.1941717
129	579.968651
130	576.9481881
131	573.8374149
132	570.8329706
133	567.6853975
134	564.7401309
135	561.7197389
136	558.8173448
137	555.697944
138	552.6353969
139	549.6971965
140	546.9533834
141	543.9676058
142	541.0732684
143	537.959735
144	535.0436704
145	532.1939291
146	529.1429071
147	526.1790049
148	523.6100958
149	520.6681819
150	518.2095882
151	515.6957495
152	513.1218784
153	510.5030163
154	507.8267632
155	505.1991476
156	502.9527905
157	500.3825487
158	497.5652098
159	495.0157394
160	492.555023
161	490.0810463
162	487.6523754
163	485.1102647
164	482.6077215
165	480.1777421
166	477.7200347
167	475.7123324
168	473.4732759
169	471.1180863
170	468.6608451
171	466.5612737
172	464.2419281
173	461.8227437
174	459.5431004
175	457.5030598
176	455.2930038
177	453.1168787
178	450.8449166
179	448.585966
180	446.388901
181	444.1469915
182	442.017747
183	439.9975938
184	437.8983952
185	435.7841536
186	433.7589807
187	431.8046366
188	429.737525
189	427.889825
190	426.0405299
191	424.2741796
192	422.3665139
193	420.4768832
194	418.4310755
195	416.4593245
196	414.5644193
197	412.7705427
198	411.2733024
199	409.6428366
200	408.0415064
201	406.2780228
202	404.4794243
203	402.6928577
204	400.9517931
205	399.3327394
206	397.8933554
207	396.2359123
208	394.6841033
209	393.0723796
210	391.2687523
211	389.8644633
212	388.2796322
213	386.6199994
214	385.0598745
215	383.5620951
216	381.9834214
217	380.3950409
218	378.7869511
219	377.3164799
220	375.7496731
221	374.2290441
222	372.7330602
223	371.1890554
224	369.8425522
225	368.2388423
226	366.8289044
227	365.5735189
228	364.2014237
229	362.9074974
230	361.6415167
231	360.2686246
232	358.9805052
233	357.8990461
234	356.5526991
235	355.2003435
236	354.0202451
237	352.7829634
238	351.4509095
239	350.2844627
240	348.9926054
241	347.8222196
242	346.6275527
243	345.4343516
244	344.3111911
245	343.0929148
246	341.9341568
247	340.667448
248	339.5761377
249	338.4843349
250	337.4535699
251	336.4577746
252	335.3160165
253	334.0865096
254	332.9682111
255	331.8942731
256	330.9108288
257	329.7918811
258	328.7352207
259	327.852933
260	326.7401266
261	325.6957119
262	324.6780932
263	323.7214291
264	322.7061359
265	321.6718994
266	320.6052916
267	319.9199823
268	319.0033691
269	318.1921737
270	317.2748022
271	316.5424875
272	315.6832786
273	314.7741851
274	313.8745965
275	312.9966068
276	312.1388735
277	311.1975459
278	310.3423076
279	309.3555888
280	308.4704808
281	307.8844781
282	307.0557029
283	306.302751
284	305.3903716
285	304.6441313
286	303.8850405
287	303.111089
288	302.2953594
289	301.5226116
290	300.6385726
291	299.8328896
292	299.1005262
293	298.3625754
294	297.7160965
295	296.9746053
296	296.1722185
297	295.4017828
298	294.7116706
299	294.0439338
300	293.4440866
301	292.7973733
302	292.2104947
303	291.6210029
304	290.9399857
305	290.2557694
306	289.6290853
307	289.0225048
308	288.3989032
309	287.7292415
310	287.1742628
311	286.6238066
312	286.0156278
313	285.3404474
314	284.7222282
315	284.1588094
316	283.5727375
317	282.9614691
318	282.3197566
319	281.7746796
320	281.2926988
321	280.5871958
322	279.9985491
323	279.3820165
324	278.7875159
325	278.2496051
326	277.714882
327	277.1749824
328	276.5475591
329	275.8604658
330	275.4592206
331	274.9599985
332	274.5059946
333	274.0157327
334	273.4284432
335	272.9839619
336	272.4387961
337	271.8899445
338	271.4083697
339	270.8596514
340	270.3342867
341	269.7890905
342	269.31674
343	268.8105299
344	268.2598278
345	267.7832919
346	267.2520604
347	266.8687726
348	266.3243903
349	265.823076
350	265.3747391
351	264.9208757
352	264.5463886
353	263.9880323
354	263.5700381
355	263.1740062
356	262.6634443
357	262.1620363
358	261.6391083
359	261.170799
360	260.6946538
361	260.2114719
362	259.752443
363	259.3858069
364	259.0104869
365	258.7230755
366	258.3734796
367	257.8971583
