iter	RMSE
0	6482.515217
1	6404.364417
2	6322.773147
3	6236.316033
4	6157.352632
5	6079.308035
6	6000.649024
7	5920.034321
8	5845.029021
9	5769.349793
10	5690.187083
11	5619.656413
12	5543.184773
13	5472.184053
14	5400.458493
15	5327.922124
16	5257.452882
17	5186.082455
18	5120.978394
19	5057.378271
20	4994.201553
21	4929.375214
22	4866.641096
23	4801.211338
24	4741.139274
25	4686.224415
26	4627.34066
27	4568.987274
28	4515.155452
29	4461.032677
30	4409.593339
31	4351.559959
32	4294.203206
33	4239.043396
34	4185.378929
35	4133.26184
36	4084.360356
37	4033.189535
38	3981.30818
39	3931.299895
40	3887.467716
41	3839.271867
42	3790.217365
43	3742.969395
44	3698.15678
45	3654.042023
46	3610.016622
47	3563.317421
48	3517.96568
49	3472.619429
50	3430.427834
51	3389.156658
52	3347.804212
53	3307.567097
54	3266.156816
55	3229.188542
56	3192.758172
57	3154.352192
58	3118.361456
59	3080.847738
60	3041.868272
61	3005.198223
62	2967.850999
63	2933.271853
64	2898.291579
65	2864.904774
66	2829.630143
67	2794.181936
68	2762.939875
69	2732.032348
70	2698.51191
71	2666.086789
72	2638.177321
73	2606.676347
74	2578.976666
75	2548.992133
76	2519.975356
77	2490.334271
78	2461.559387
79	2436.960396
80	2408.601104
81	2382.40275
82	2353.904174
83	2328.643126
84	2301.129358
85	2274.83177
86	2248.650934
87	2224.56967
88	2199.258924
89	2173.610517
90	2150.463172
91	2127.241818
92	2102.803118
93	2077.969267
94	2054.557625
95	2031.418709
96	2008.421264
97	1986.227044
98	1963.929626
99	1942.801534
100	1921.77116
101	1900.390183
102	1879.315606
103	1858.306253
104	1838.119324
105	1819.576591
106	1799.943395
107	1782.045056
108	1761.924711
109	1743.639776
110	1724.713957
111	1707.593826
112	1689.809459
113	1671.682624
114	1654.451575
115	1636.859651
116	1620.067465
117	1604.687528
118	1587.540358
119	1570.644702
120	1555.798955
121	1540.067268
122	1525.159441
123	1511.744716
124	1497.25206
125	1481.866965
126	1468.644334
127	1455.845715
128	1440.904058
129	1428.91389
130	1416.256624
131	1402.18233
132	1388.422183
133	1376.027266
134	1362.772396
135	1349.529036
136	1336.823383
137	1324.442
