,Algeria,Argentina,Australia,Austria,Bahrain,Bangladesh,Belarus,Belgium,Bolivia,Bulgaria,Canada,Chile,Colombia,Costa Rica,Croatia,Cuba,Czech Republic,Denmark,Dominican Republic,Ecuador,El Salvador,Estonia,Ethiopia,Fiji,Finland,France,Ghana,Greece,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,Kuwait,Latvia,Lithuania,Luxembourg,Malawi,Malaysia,Malta,Mexico,Morocco,Mozambique,Myanmar,Nepal,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Thailand,Togo,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Vietnam,Zambia,Zimbabwe
2020-03-01,-1.0167168855010718,-0.7047214617012304,-1.3144974158397418,-2.1282479825583764,-1.0627513310828012,-0.9745354195040661,-1.3832436082180268,-2.0211541278137872,-0.852662346496681,-0.9827486913535293,-1.6925277026078325,-1.0897616424220602,-0.735379244749136,-0.6649648995777365,-1.0717311130920686,-1.539054631482129,-1.3694026764142977,-1.9767418230529659,-0.992113386814894,-1.2687176832138964,-0.8473789168337236,-2.3263092348319527,-0.6350959356680744,-2.051594111090492,-2.027944040357993,-1.7240721657618145,-0.9958542056731612,-1.223850984125396,-1.3942087806581207,-2.7502696879011292,-0.7160550904339538,-0.9289873946173638,-1.4837209502558597,-0.7536185395391903,-1.976521877393317,-0.9352407256576388,-2.4980217950648815,-1.0953413458533927,-0.8504818829212907,-0.783925133564264,-1.1080087777143546,-2.175568893249153,-1.868920695203508,-1.9703342212580368,-0.809031487642974,-2.227503310027203,-1.2337954556546133,-0.9489838300513928,-0.7939141443596623,-0.7684683644251405,-0.6175283741368399,-0.7855625677213789,-2.461260162355013,-1.0137022641360436,-2.4981686889919614,-0.9660617185946405,-1.1188550945866855,-0.9766164359920976,-0.6231731953746612,-1.0431141768207572,-0.7771418683186475,-1.2862337609262442,-1.7283252309930601,-1.2711749809387183,-1.040893719797078,-1.2362274031068325,-0.8543679546547371,-1.1203965456256748,-1.106776209258643,-1.3403756100018884,-1.3715659277355787,-1.9041887717732766,-0.8257887424423416,-2.4092579512920564,-1.7919382105088428,-1.3747110460441678,-1.4509228505380019,-2.3840428051749223,-2.5345247266545448,-1.1319258555535547,-0.9944423145975313,-1.6775250279214016,-0.7775421817860446,-0.9779602579439195,-1.3340545784433626,-1.828760462753407,-1.206988641898601,-1.733455826863927,-1.3348668972510316,-0.7396151115892111,-0.6833314367301146
2020-03-02,-1.0167168855010718,-0.7047214617012304,-1.314126814075408,-2.1277368052397954,-1.0624504990321308,-0.9745354195040661,-1.3832436082180268,-2.0204723833513034,-0.852662346496681,-0.9827486913535293,-1.6924404564618414,-1.0897616424220602,-0.735379244749136,-0.6649648995777365,-1.0711443366512452,-1.539054631482129,-1.3690507780960468,-1.9765537061454665,-0.9920849070636878,-1.2685896944796131,-0.8473789168337236,-2.3263092348319527,-0.6350959356680744,-2.051594111090492,-2.026849342053384,-1.7237298786675792,-0.9958542056731612,-1.223850984125396,-1.3942087806581207,-2.7468699916619954,-0.7160550904339538,-0.928956420532327,-1.4806437426480996,-0.7535508445320993,-1.976521877393317,-0.9351714549318764,-2.4909654016062945,-1.0946659523286408,-0.8504818829212907,-0.783925133564264,-1.1079778550064439,-2.175568893249153,-1.868920695203508,-1.9703342212580368,-0.809031487642974,-2.2261719734284826,-1.2337954556546133,-0.9489793967618401,-0.7939141443596623,-0.7684683644251405,-0.6175283741368399,-0.7855625677213789,-2.461260162355013,-1.0137022641360436,-2.4968526391538037,-0.9660617185946405,-1.1188550945866855,-0.9766164359920976,-0.6231731953746612,-1.0431141768207572,-0.7771418683186475,-1.2862337609262442,-1.7283252309930601,-1.2711334811496362,-1.040893719797078,-1.2362274031068325,-0.8543679546547371,-1.1203965456256748,-1.106776209258643,-1.3403756100018884,-1.3715659277355787,-1.9041887717732766,-0.8257887424423416,-2.229056236802461,-1.7915422911243961,-1.3747110460441678,-1.4509228505380019,-2.3835399625411,-2.5335662256120957,-1.1319258555535547,-0.9944423145975313,-1.6775250279214016,-0.7775421817860446,-0.9779602579439195,-1.3340545784433626,-1.8287178493020495,-1.2069791284051563,-1.733455826863927,-1.3348668972510316,-0.7396151115892111,-0.6833314367301146
2020-03-03,-1.0169064374786492,-0.7047214617012304,-1.3136326783896302,-2.1272256279212143,-1.0648070167623813,-0.9745354195040661,-1.383278233520092,-2.019752764196459,-0.852662346496681,-0.9827486913535293,-1.6923750218523481,-1.0897616424220602,-0.735379244749136,-0.6649648995777365,-1.0708509484308337,-1.539054631482129,-1.368816179217213,-1.9763655892379672,-0.992113386814894,-1.2685640967327563,-0.8473789168337236,-2.3277089102169817,-0.6350959356680744,-2.051594111090492,-2.0290387386626016,-1.7231822193168023,-0.9958542056731612,-1.226015175487103,-1.3942087806581207,-2.7417704473032947,-0.7160536582991772,-0.9289873946173638,-1.476463535949766,-0.7535282795297356,-1.9766210065462138,-0.9354023573510843,-2.4866007518199673,-1.0946659523286408,-0.8504818829212907,-0.783925133564264,-1.107668627927336,-2.173232746209112,-1.8700808988582382,-1.9707931989678058,-0.809031487642974,-2.2358241637692045,-1.2337954556546133,-0.9490015632096038,-0.7938703911159348,-0.7684683644251405,-0.6175283741368399,-0.7856281823019192,-2.463671116343109,-1.0137505988132531,-2.494878564396567,-0.9660333548110932,-1.1188875868503196,-0.9766164359920976,-0.6231731953746612,-1.0431141768207572,-0.7771801634359796,-1.2862337609262442,-1.7282219477415348,-1.271195730833259,-1.0409934447550593,-1.2362247595124043,-0.8543679546547371,-1.120388458798836,-1.1065749761284216,-1.3403756100018884,-1.3715659277355787,-1.9041887717732766,-0.8257887424423416,-2.071445407802815,-1.7911317080590439,-1.3755778519525639,-1.4507636126176942,-2.3830371199072773,-2.57478177043741,-1.1319258555535547,-0.9937645731200909,-1.6775250279214016,-0.7775421817860446,-0.9779602579439195,-1.3348455387798601,-1.8285303501160761,-1.206972468959745,-1.733455826863927,-1.3859689713824648,-0.7396151115892111,-0.6833314367301146
2020-03-04,-1.0165905175160201,-0.7047150306769633,-1.3126444070180738,-2.126458861943343,-1.0623502216819074,-0.9745354195040661,-1.383139732311832,-2.0184650246562112,-0.852662346496681,-0.9827486913535293,-1.692309587242855,-1.0897556132952444,-0.735379244749136,-0.6649648995777365,-1.070557560210422,-1.539054631482129,-1.368816179217213,-1.975801238515469,-0.992113386814894,-1.268743280960753,-0.8473789168337236,-2.324909559446924,-0.6350959356680744,-2.051594111090492,-2.0264844426185147,-1.7227942939433356,-0.9958542056731612,-1.226015175487103,-1.3942087806581207,-2.724771966107625,-0.716052942231789,-0.9289873946173638,-1.469789592177092,-0.7534718670238263,-1.9764227482404202,-0.9354023573510843,-2.4807392913000004,-1.0940355850388723,-0.8504818829212907,-0.783925133564264,-1.1094002995703391,-2.175568893249153,-1.8700808988582382,-1.9707931989678058,-0.809031487642974,-2.2238421343807224,-1.2337954556546133,-0.9490015632096038,-0.7939141443596623,-0.7684683644251405,-0.6175283741368399,-0.7856281823019192,-2.4588492083669173,-1.0137505988132531,-2.492246464720252,-0.9662319012959246,-1.118846971520777,-0.9766164359920976,-0.6231731953746612,-1.0431141768207572,-0.7771801634359796,-1.2861895125064136,-1.7281186644900097,-1.2710297316769312,-1.0408604781444177,-1.2362221159179763,-0.8543679546547371,-1.1203965456256748,-1.106776209258643,-1.3403756100018884,-1.3715659277355787,-1.9041887717732766,-0.8257887424423416,-1.9359000948631189,-1.79058182002509,-1.3755778519525639,-1.4503495940248938,-2.3824504701678175,-2.57478177043741,-1.1319258555535547,-0.9944423145975313,-1.6775250279214016,-0.7775421817860446,-0.9779374643584694,-1.333828589775792,-1.8281894425052156,-1.206962004116956,-1.733455826863927,-1.3859689713824648,-0.7396151115892111,-0.6833314367301146
2020-03-05,-1.0161482295683395,-0.7047214617012304,-1.311285533882184,-2.1258198902951166,-1.0621998056565725,-0.9745354195040661,-1.3830704817077017,-2.016457665961119,-0.852662346496681,-0.9827486913535293,-1.6922441526333618,-1.0897435550416124,-0.735379244749136,-0.6649648995777365,-1.073198054194127,-1.539054631482129,-1.3684642808989622,-1.9754250047004704,-0.992113386814894,-1.2684873034921864,-0.8473789168337236,-2.3277089102169817,-0.6350959356680744,-2.051594111090492,-2.0290387386626016,-1.7219613953473625,-0.9958542056731612,-1.2229234735418073,-1.393443418113706,-2.7077734849119555,-0.716037188749247,-0.9289873946173638,-1.4651058424156704,-0.753415454517917,-1.976026231628833,-0.9350560037222724,-2.473355863563476,-1.0918292995246826,-0.8504818829212907,-0.783925133564264,-1.1094002995703391,-2.175568893249153,-1.8700808988582382,-1.9707931989678058,-0.809031487642974,-2.2191824562852016,-1.2337954556546133,-0.9490015632096038,-0.7939141443596623,-0.7684683644251405,-0.6175283741368399,-0.7856281823019192,-2.4564382543788215,-1.0137505988132531,-2.484679178150846,-0.9658064445427145,-1.1188875868503196,-0.9766164359920976,-0.6231731953746612,-1.0431141768207572,-0.7771801634359796,-1.2862337609262442,-1.7280670228642472,-1.271195730833259,-1.0409934447550593,-1.2362221159179763,-0.8543679546547371,-1.1203965456256748,-1.1061725098679787,-1.3403756100018884,-1.3715659277355787,-1.9030105169412481,-0.8257887424423416,-1.820844189693377,-1.7899879409484198,-1.3755778519525639,-1.449394166503047,-2.380774328055076,-2.5297322214422993,-1.1319258555535547,-0.9944423145975313,-1.6775250279214016,-0.7775421817860446,-0.9779602579439195,-1.3348455387798601,-1.8277206945402822,-1.2069458311781,-1.733455826863927,-1.3859689713824648,-0.7396151115892111,-0.6833314367301146
2020-03-06,-1.0158323096057105,-0.7047085996526962,-1.3104207964320724,-2.1242863583393734,-1.0621998056565725,-0.9745354195040661,-1.383278233520092,-2.013389815879941,-0.852662346496681,-0.9827486913535293,-1.6919824141953888,-1.0897375259147963,-0.735379244749136,-0.6649648995777365,-1.0702641719900103,-1.539054631482129,-1.3679950831412946,-1.9735438356254773,-0.992113386814894,-1.2684105102516163,-0.8473789168337236,-2.3207105332918374,-0.6350959356680744,-2.051594111090492,-2.024659945444167,-1.7203868747138795,-0.9958542056731612,-1.2161217292621567,-1.3942087806581207,-2.6924748518358532,-0.7160364726818588,-0.9289873946173638,-1.460382128919083,-0.7533364770096441,-1.9753323275585555,-0.9350098232384308,-2.4636831958813845,-1.0903884600052116,-0.8504818829212907,-0.783925133564264,-1.1076067825115146,-2.175568893249153,-1.8700808988582382,-1.9707931989678058,-0.809031487642974,-2.2191824562852016,-1.2337954556546133,-0.9490015632096038,-0.7938266378722074,-0.7684683644251405,-0.6175283741368399,-0.7856281823019192,-2.4540273003907256,-1.0137505988132531,-2.4748088043646637,-0.9657780807591672,-1.1188875868503196,-0.9766164359920976,-0.6231731953746612,-1.0431141768207572,-0.7771801634359796,-1.2862337609262442,-1.727860456361197,-1.271195730833259,-1.040793994839097,-1.2362221159179763,-0.8543679546547371,-1.1203561114914806,-1.1059712767377574,-1.3403756100018884,-1.3715659277355787,-1.8971192427811063,-0.8257847231501202,-1.6847735073236823,-1.7886462141455726,-1.3755778519525639,-1.4485979769015078,-2.3782601148859634,-2.57478177043741,-1.1319258555535547,-0.9944423145975313,-1.6775250279214016,-0.7775421817860446,-0.9779602579439195,-1.3337532602199351,-1.8272434238850774,-1.2069106312523548,-1.733455826863927,-1.3859689713824648,-0.7396151115892111,-0.6833314367301146
2020-03-07,-1.0169064374786492,-0.7046700135070935,-1.3099266607462943,-2.1200691454610796,-1.0619992509561256,-0.9745354195040661,-1.383278233520092,-2.009223599720316,-0.852662346496681,-0.9827486913535293,-1.6918515449764024,-1.0897314967879805,-0.7353748141581333,-0.6649017670465937,-1.0699707837695986,-1.539054631482129,-1.3671739870653763,-1.9729794849029794,-0.9920564273124816,-1.268743280960753,-0.8473789168337236,-2.3137121563666927,-0.6350959356680744,-2.051594111090492,-2.0221056494000806,-1.718219056450388,-0.9958542056731612,-1.2121025167332722,-1.3926780555692917,-2.6788760668793175,-0.7160350405470823,-0.9289254464472901,-1.4505190790801852,-0.7537652120545545,-1.9748366817940715,-0.9349636427545892,-2.453897324026161,-1.0877319121411875,-0.8504818829212907,-0.783925133564264,-1.1094002995703391,-2.175568893249153,-1.8700808988582382,-1.969416265838499,-0.809031487642974,-2.2081989293457593,-1.232089172592115,-0.9490015632096038,-0.7939141443596623,-0.7684683644251405,-0.6175283741368399,-0.7856281823019192,-2.4516163464026293,-1.0137505988132531,-2.4659254679570997,-0.9662319012959246,-1.1188388484548686,-0.9766164359920976,-0.6231731953746612,-1.0431098716101168,-0.777116338240426,-1.2860125188270912,-1.7276538898581468,-1.2709674819933081,-1.0407607531864365,-1.2362062543514072,-0.8543679546547371,-1.1203965456256748,-1.106776209258643,-1.340282592218833,-1.3707922690805485,-1.8935844782850213,-0.8257887424423416,-1.5578967899789669,-1.7869378953200892,-1.3755778519525639,-1.4467189694418756,-2.368035647998239,-2.5268567183149515,-1.1298829065923162,-0.9944423145975313,-1.6775250279214016,-0.7775421817860446,-0.9779602579439195,-1.3348455387798601,-1.82680876668123,-1.2068606854117705,-1.733455826863927,-1.3316730176178169,-0.7396151115892111,-0.6833314367301146
2020-03-08,-1.0169064374786492,-0.7046635824828263,-1.3085677876104045,-2.1168742872199484,-1.0616482802303435,-0.9745354195040661,-1.383278233520092,-2.00820098302659,-0.852662346496681,-0.9824130539947188,-1.691720675757416,-1.0897616424220602,-0.735379244749136,-0.6649648995777365,-1.069677395549187,-1.539054631482129,-1.3663528909894578,-1.9714745496429849,-0.992113386814894,-1.268743280960753,-0.8473789168337236,-2.3277089102169817,-0.6350959356680744,-2.051594111090492,-2.0290387386626016,-1.7170438707601796,-0.9958542056731612,-1.2056099426481512,-1.3915300117526699,-2.661877585683648,-0.7160328923449175,-0.9289873946173638,-1.4419188832725236,-0.7531559569907345,-1.9747375526411746,-0.9348251013030645,-2.438212256926593,-1.0856156790969647,-0.8504818829212907,-0.783925133564264,-1.1075140143877822,-2.1708965991690707,-1.8700808988582382,-1.9707931989678058,-0.809031487642974,-2.204870587848959,-1.232089172592115,-0.9490015632096038,-0.7939141443596623,-0.7684683644251405,-0.6175283741368399,-0.7856281823019192,-2.463671116343109,-1.0137505988132531,-2.45473904433276,-0.9662319012959246,-1.1188875868503196,-0.9766164359920976,-0.623032348329768,-1.0431141768207572,-0.7771035732013153,-1.2859682704072608,-1.7272407568520463,-1.270946732098767,-1.0405613032704741,-1.2362062543514072,-0.8543679546547371,-1.120339937837803,-1.106776209258643,-1.3403756100018884,-1.3692449517704879,-1.8900497137889363,-0.8257807038578988,-1.4614914995741832,-1.784518387970692,-1.3755778519525639,-1.445667999167844,-2.3634262571881988,-2.57478177043741,-1.1319258555535547,-0.9944423145975313,-1.6775250279214016,-0.7775421817860446,-0.9779602579439195,-1.33315062377308,-1.8261184287692374,-1.2068154963179083,-1.733455826863927,-1.3188974990849587,-0.7396151115892111,-0.6833314367301146
2020-03-09,-1.015642757628133,-0.704644289410025,-1.3078265840817374,-2.1164909042310125,-1.0608460614285562,-0.9745104442751725,-1.383278233520092,-2.0057770027155355,-0.852662346496681,-0.9820774166359083,-1.6916116180749272,-1.0897013511539007,-0.735379244749136,-0.664649236922022,-1.073198054194127,-1.539054631482129,-1.3656490943529564,-1.9701577312904897,-0.992113386814894,-1.2683849125047597,-0.8473789168337236,-2.3277089102169817,-0.6350959356680744,-2.051594111090492,-2.0180917556165157,-1.7123659471389616,-0.9958542056731612,-1.2034457512864443,-1.3911473304804627,-2.658477889444514,-0.7160572386361186,-0.9288944723622534,-1.4359802722268986,-0.7530769794824616,-1.974539294335381,-0.9345018379161734,-2.419445520669532,-1.0841298133425104,-0.8504818829212907,-0.783925133564264,-1.1074212462640498,-2.1685604521290296,-1.8700808988582382,-1.9684983104189613,-0.809031487642974,-2.2028735829508785,-1.2286766064671182,-0.9489705301827345,-0.7939141443596623,-0.7684683644251405,-0.6175283741368399,-0.7856281823019192,-2.463671116343109,-1.0137505988132531,-2.4475007702228933,-0.9662319012959246,-1.1188875868503196,-0.9766164359920976,-0.6231731953746612,-1.0430840403462742,-0.7770525130448724,-1.2857470283081078,-1.7267759822201834,-1.2708844824151442,-1.0404948199651534,-1.2362062543514072,-0.8543679546547371,-1.1203075905304474,-1.106776209258643,-1.3403756100018884,-1.3676976344604272,-1.8853366944608227,-0.8257766845656775,-1.3963456902543294,-1.7813437010546653,-1.3755778519525639,-1.4442030103010122,-2.357727374004877,-2.57478177043741,-1.1319258555535547,-0.9944423145975313,-1.6775250279214016,-0.7775421817860446,-0.9779602579439195,-1.3348455387798601,-1.8256070673529463,-1.206757939682568,-1.733455826863927,-1.2901525823860274,-0.7396151115892111,-0.6833314367301146
2020-03-10,-1.0169064374786492,-0.7047214617012304,-1.3053559056528468,-2.1127848686713,-1.0593419011752048,-0.9745354195040661,-1.383278233520092,-2.002216781633674,-0.852662346496681,-0.9827486913535293,-1.6912844450274611,-1.0896832637734528,-0.735365952976128,-0.6643967067974506,-1.073198054194127,-1.539054631482129,-1.3647106988376212,-1.9560489632280407,-0.9919709880588629,-1.268359314757903,-0.8473789168337236,-2.3277089102169817,-0.6350959356680744,-2.051594111090492,-2.0144427612678206,-1.709102810173917,-0.9958542056731612,-1.200044879146619,-1.3907646492082553,-2.641479408248845,-0.7160257316710348,-0.9289873946173638,-1.4312245877421788,-0.7537652120545545,-1.9766210065462138,-0.9354023573510843,-2.396842420767428,-1.0829591312329403,-0.8504818829212907,-0.783925133564264,-1.107390323556139,-2.1615520110089057,-1.8700808988582382,-1.9707931989678058,-0.809031487642974,-2.1968825682566373,-1.2286766064671182,-0.9490015632096038,-0.7939141443596623,-0.7684683644251405,-0.6175283741368399,-0.7856281823019192,-2.463671116343109,-1.013653929458834,-2.439933483653487,-0.9657213531920725,-1.1187576177957834,-0.9765871849860615,-0.6231731953746612,-1.0430754299249934,-0.7767589171453259,-1.2854815377891242,-1.7263112075883202,-1.2708222327315213,-1.0404283366598326,-1.2362062543514072,-0.8543679546547371,-1.120275243223092,-1.106776209258643,-1.3403756100018884,-1.3715659277355787,-1.9041887717732766,-0.8257606073967922,-1.3619339925894067,-1.7756835202251668,-1.3755778519525639,-1.4409864043107945,-2.3542074755681193,-2.57478177043741,-1.1319258555535547,-0.9930868316426505,-1.6775250279214016,-0.7775421817860446,-0.9779602579439195,-1.3326233168820816,-1.82512127400747,-1.2066628047481216,-1.733455826863927,-1.2773770638531692,-0.7396151115892111,-0.6833314367301146
