,Algeria,Argentina,Australia,Austria,Bahrain,Bangladesh,Belarus,Belgium,Bolivia,Bulgaria,Canada,Chile,Colombia,Costa Rica,Croatia,Cuba,Czech Republic,Denmark,Dominican Republic,Ecuador,El Salvador,Estonia,Ethiopia,Fiji,Finland,France,Ghana,Greece,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,Kuwait,Latvia,Lithuania,Luxembourg,Malawi,Malaysia,Malta,Mexico,Morocco,Mozambique,Myanmar,Nepal,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Thailand,Togo,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Vietnam,Zambia,Zimbabwe
2020-03-01,3.0,0.0,26.0,10.0,41.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,100.0,0.0,7.0,0.0,1.0,3.0,0.0,593.0,13.0,1.0,7.0,1128.0,239.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,15.0,6.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3526.0,82.0,1.0,14.0,18.0,42.0,0.0,0.0,0.0,0.0,0.0,21.0,42.0,69.0,0.0,16.0,0.0,0.0
2020-03-02,3.0,0.0,29.0,14.0,47.0,0.0,1.0,19.0,0.0,0.0,24.0,0.0,0.0,0.0,7.0,0.0,3.0,4.0,1.0,6.0,0.0,1.0,0.0,0.0,6.0,130.0,0.0,7.0,0.0,3.0,3.0,2.0,978.0,19.0,1.0,10.0,1689.0,254.0,0.0,0.0,46.0,0.0,1.0,1.0,0.0,29.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,6.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4212.0,136.0,1.0,14.0,24.0,43.0,0.0,0.0,0.0,0.0,0.0,21.0,47.0,89.0,0.0,16.0,0.0,0.0
2020-03-03,3.0,0.0,33.0,18.0,47.0,0.0,1.0,38.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,0.0,5.0,5.0,1.0,7.0,0.0,1.0,0.0,0.0,6.0,178.0,0.0,7.0,0.0,6.0,5.0,2.0,1501.0,21.0,1.0,10.0,2036.0,254.0,0.0,0.0,56.0,1.0,1.0,1.0,0.0,29.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,25.0,7.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4812.0,192.0,1.0,19.0,30.0,43.0,0.0,1.0,0.0,0.0,0.0,21.0,69.0,103.0,0.0,16.0,0.0,0.0
2020-03-04,5.0,1.0,41.0,24.0,49.0,0.0,4.0,72.0,0.0,0.0,30.0,1.0,0.0,0.0,9.0,0.0,5.0,8.0,1.0,7.0,0.0,2.0,0.0,0.0,7.0,212.0,0.0,7.0,0.0,16.0,6.0,2.0,2336.0,26.0,2.0,10.0,2502.0,268.0,0.0,0.0,56.0,1.0,1.0,1.0,0.0,36.0,0.0,5.0,1.0,0.0,0.0,1.0,2.0,1.0,33.0,7.0,5.0,0.0,0.0,0.0,3.0,1.0,4.0,8.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5328.0,267.0,1.0,32.0,37.0,43.0,0.0,1.0,0.0,0.0,1.0,27.0,109.0,125.0,0.0,16.0,0.0,0.0
2020-03-05,12.0,1.0,52.0,29.0,52.0,0.0,6.0,125.0,0.0,0.0,33.0,3.0,0.0,0.0,9.0,0.0,8.0,10.0,1.0,10.0,0.0,2.0,0.0,0.0,7.0,285.0,0.0,10.0,2.0,26.0,28.0,2.0,2922.0,31.0,6.0,15.0,3089.0,317.0,0.0,0.0,56.0,1.0,1.0,1.0,0.0,50.0,0.0,5.0,1.0,0.0,0.0,1.0,3.0,1.0,56.0,15.0,5.0,0.0,0.0,0.0,3.0,1.0,5.0,8.0,4.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,5766.0,348.0,1.0,62.0,57.0,47.0,0.0,1.0,0.0,0.0,1.0,27.0,164.0,159.0,0.0,16.0,0.0,0.0
2020-03-06,17.0,2.0,59.0,41.0,52.0,0.0,6.0,206.0,0.0,0.0,45.0,4.0,0.0,0.0,10.0,0.0,12.0,20.0,1.0,13.0,0.0,5.0,0.0,0.0,12.0,423.0,0.0,32.0,2.0,35.0,29.0,2.0,3513.0,38.0,13.0,17.0,3858.0,349.0,0.0,0.0,58.0,1.0,1.0,1.0,0.0,50.0,0.0,5.0,2.0,0.0,0.0,1.0,4.0,1.0,86.0,16.0,5.0,0.0,0.0,0.0,3.0,1.0,9.0,8.0,6.0,4.0,0.0,5.0,4.0,0.0,0.0,6.0,1.0,6284.0,531.0,1.0,87.0,87.0,47.0,0.0,1.0,0.0,0.0,1.0,29.0,220.0,233.0,0.0,16.0,0.0,0.0
2020-03-07,17.0,8.0,63.0,74.0,56.0,0.0,6.0,316.0,0.0,0.0,51.0,5.0,1.0,1.0,11.0,0.0,19.0,23.0,2.0,13.0,0.0,10.0,0.0,0.0,19.0,613.0,0.0,45.0,4.0,43.0,31.0,4.0,4747.0,38.0,18.0,19.0,4636.0,408.0,0.0,0.0,58.0,1.0,1.0,3.0,0.0,83.0,1.0,5.0,2.0,0.0,0.0,1.0,5.0,1.0,113.0,16.0,6.0,0.0,0.0,1.0,5.0,5.0,13.0,11.0,7.0,10.0,0.0,5.0,4.0,1.0,1.0,9.0,1.0,6767.0,764.0,1.0,146.0,209.0,50.0,1.0,1.0,0.0,0.0,1.0,29.0,271.0,338.0,0.0,17.0,0.0,0.0
2020-03-08,17.0,9.0,74.0,99.0,63.0,0.0,6.0,343.0,0.0,2.0,57.0,5.0,1.0,1.0,12.0,0.0,26.0,31.0,2.0,13.0,0.0,10.0,0.0,0.0,19.0,716.0,0.0,66.0,7.0,53.0,34.0,4.0,5823.0,54.0,19.0,25.0,5883.0,455.0,0.0,0.0,61.0,2.0,1.0,3.0,0.0,93.0,1.0,5.0,2.0,0.0,0.0,1.0,5.0,1.0,147.0,16.0,6.0,0.0,1.0,1.0,6.0,6.0,21.0,12.0,13.0,10.0,0.0,7.0,4.0,1.0,3.0,12.0,2.0,7134.0,1094.0,1.0,179.0,264.0,50.0,1.0,1.0,0.0,0.0,1.0,45.0,352.0,433.0,0.0,21.0,0.0,0.0
2020-03-09,20.0,12.0,80.0,102.0,79.0,3.0,6.0,407.0,0.0,4.0,62.0,10.0,1.0,5.0,12.0,0.0,32.0,38.0,2.0,14.0,0.0,10.0,0.0,0.0,30.0,1126.0,0.0,73.0,8.0,55.0,34.0,6.0,6566.0,61.0,21.0,39.0,7375.0,488.0,0.0,0.0,64.0,3.0,1.0,5.0,0.0,99.0,3.0,7.0,2.0,0.0,0.0,1.0,5.0,1.0,169.0,16.0,6.0,0.0,1.0,7.0,10.0,11.0,30.0,15.0,15.0,10.0,0.0,11.0,4.0,1.0,5.0,16.0,3.0,7382.0,1527.0,1.0,225.0,332.0,50.0,1.0,1.0,0.0,0.0,1.0,45.0,412.0,554.0,0.0,30.0,0.0,0.0
2020-03-10,20.0,12.0,100.0,131.0,109.0,3.0,6.0,501.0,0.0,4.0,77.0,13.0,3.0,9.0,12.0,0.0,40.0,113.0,5.0,15.0,0.0,10.0,0.0,0.0,40.0,1412.0,0.0,84.0,9.0,65.0,44.0,6.0,7161.0,61.0,21.0,39.0,9172.0,514.0,0.0,0.0,65.0,6.0,1.0,5.0,0.0,117.0,3.0,7.0,2.0,0.0,0.0,1.0,5.0,2.0,192.0,18.0,16.0,1.0,1.0,9.0,33.0,17.0,39.0,18.0,17.0,10.0,0.0,15.0,4.0,1.0,5.0,16.0,7.0,7513.0,2299.0,1.0,326.0,374.0,50.0,1.0,2.0,0.0,0.0,1.0,59.0,469.0,754.0,0.0,34.0,0.0,0.0
