,Algeria,Argentina,Australia,Austria,Bahrain,Bangladesh,Belarus,Belgium,Bolivia,Bulgaria,Canada,Chile,Colombia,Costa Rica,Croatia,Cuba,Czech Republic,Denmark,Dominican Republic,Ecuador,El Salvador,Estonia,Ethiopia,Fiji,Finland,France,Ghana,Greece,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,Kuwait,Latvia,Lithuania,Luxembourg,Malawi,Malaysia,Malta,Mexico,Morocco,Mozambique,Myanmar,Nepal,New Zealand,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Thailand,Togo,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Vietnam,Zambia,Zimbabwe
2020-03-01,-1.0167662286973667,-0.7047229965274292,-1.3144974158397418,-2.1282479825583764,-1.0627763742409697,-0.9745368766094592,-1.3832803622684953,-2.0211541278137872,-0.8526643086725759,-0.9827618517575587,-1.6925277026078325,-1.0897619713997704,-0.735379721063424,-0.6649653532426302,-1.071834883396635,-1.5391973866381674,-1.3694026764142977,-1.9767418230529659,-0.9921198692635496,-1.2687400175303356,-0.8473789168337236,-2.3277873142701715,-0.6350959356680744,-2.051594111090492,-2.028614169456302,-1.7240721657618145,-0.9958553723361705,-1.2239049646762854,-1.3942200251081203,-2.7502696879011292,-0.7160552739748959,-0.9289948756289659,-1.4837209502558597,-0.7536272678836952,-1.9765753085483262,-0.9352534603527066,-2.4980217950648815,-1.0953413458533927,-0.8504818829212907,-0.783925133564264,-1.1080672176070765,-2.1758364501312424,-1.8692071555173497,-1.9708926123137915,-0.809031487642974,-2.2277912128515265,-1.2337954556546133,-0.9489856788777221,-0.7939184110826654,-0.7684683644251405,-0.6175283741368399,-0.7855694435306447,-2.4652578442744946,-1.0137095964089564,-2.4981686889919614,-0.966086604053952,-1.1188574672864406,-0.9766164359920976,-0.6231868321988837,-1.0431142216618914,-0.7771430929893517,-1.286234933242095,-1.7283252309930601,-1.2712510092658382,-1.0408961380795774,-1.2362274031068325,-0.8543679546547371,-1.1203971825473205,-1.1068320423726803,-1.3403795049966447,-1.3716215089084571,-1.9046227696661513,-0.8257890120471203,-2.4092579512920564,-1.7919382105088428,-1.3748236057747625,-1.4509228505380019,-2.3840428051749223,-2.547223853825713,-1.1320885540248822,-0.9944826469295068,-1.6775258536025206,-0.7775421817860446,-0.9779633715260541,-1.3342014064269405,-1.828760462753407,-1.206988641898601,-1.733455826863927,-1.3377458516055691,-0.7396151115892111,-0.6833314367301146
2020-03-02,-1.0167662286973667,-0.7047229965274292,-1.314126814075408,-2.1277368052397954,-1.0624755384200903,-0.9745368766094592,-1.3832803622684953,-2.0204723833513034,-0.8526643086725759,-0.9827618517575587,-1.6924404564618414,-1.0897619713997704,-0.735379721063424,-0.6649653532426302,-1.071248076514846,-1.5391973866381674,-1.3690507780960468,-1.9765537061454665,-0.9920913894198073,-1.2686120274037374,-0.8473789168337236,-2.3277873142701715,-0.6350959356680744,-2.051594111090492,-2.02751917998841,-1.7237298786675792,-0.9958553723361705,-1.2239049646762854,-1.3942200251081203,-2.7468699916619954,-0.7160552739748959,-0.9289639014280865,-1.4806437426480996,-0.7535595725917398,-1.9765753085483262,-0.9351841891857314,-2.4909654016062945,-1.0946659523286408,-0.8504818829212907,-0.783925133564264,-1.1080362939981276,-2.1758364501312424,-1.8692071555173497,-1.9708926123137915,-0.809031487642974,-2.2264597328829763,-1.2337954556546133,-0.9489812455840659,-0.7939184110826654,-0.7684683644251405,-0.6175283741368399,-0.7855694435306447,-2.4652578442744946,-1.0137095964089564,-2.4968526391538037,-0.966086604053952,-1.1188574672864406,-0.9766164359920976,-0.6231868321988837,-1.0431142216618914,-0.7771430929893517,-1.286234933242095,-1.7283252309930601,-1.2712095079417465,-1.0408961380795774,-1.2362274031068325,-0.8543679546547371,-1.1203971825473205,-1.1068320423726803,-1.3403795049966447,-1.3716215089084571,-1.9046227696661513,-0.8257890120471203,-2.229056236802461,-1.7915422911243961,-1.3748236057747625,-1.4509228505380019,-2.3835399625411,-2.5462611896209877,-1.1320885540248822,-0.9944826469295068,-1.6775258536025206,-0.7775421817860446,-0.9779633715260541,-1.3342014064269405,-1.8287178493020495,-1.2069791284051563,-1.733455826863927,-1.3377458516055691,-0.7396151115892111,-0.6833314367301146
2020-03-03,-1.0167662286973667,-0.7047229965274292,-1.3136326783896302,-2.1272256279212143,-1.0624755384200903,-0.9745368766094592,-1.3832803622684953,-2.019752764196459,-0.8526643086725759,-0.9827618517575587,-1.6923750218523481,-1.0897619713997704,-0.735379721063424,-0.6649653532426302,-1.0709546730739516,-1.5391973866381674,-1.368816179217213,-1.9763655892379672,-0.9920913894198073,-1.2685864293784177,-0.8473789168337236,-2.3277873142701715,-0.6350959356680744,-2.051594111090492,-2.02751917998841,-1.7231822193168023,-0.9958553723361705,-1.2239049646762854,-1.3942200251081203,-2.7417704473032947,-0.7160538418399945,-0.9289639014280865,-1.476463535949766,-0.7535370074944213,-1.9765753085483262,-0.9351841891857314,-2.4866007518199673,-1.0946659523286408,-0.8504818829212907,-0.783925133564264,-1.1077270579086393,-2.1735000657130294,-1.8692071555173497,-1.9708926123137915,-0.809031487642974,-2.2264597328829763,-1.2337954556546133,-0.9489812455840659,-0.7938746577477525,-0.7684683644251405,-0.6175283741368399,-0.7855694435306447,-2.4652578442744946,-1.0137095964089564,-2.494878564396567,-0.9660582399167906,-1.1188574672864406,-0.9766164359920976,-0.6231868321988837,-1.0431142216618914,-0.7771430929893517,-1.286234933242095,-1.7282219477415348,-1.2712095079417465,-1.0408961380795774,-1.2362247595124043,-0.8543679546547371,-1.1203890957179172,-1.1066308036418067,-1.3403795049966447,-1.3716215089084571,-1.9046227696661513,-0.8257890120471203,-2.071445407802815,-1.7911317080590439,-1.3748236057747625,-1.4507636126176942,-2.3830371199072773,-2.5462611896209877,-1.1320885540248822,-0.993804891752761,-1.6775258536025206,-0.7775421817860446,-0.9779633715260541,-1.3342014064269405,-1.8285303501160761,-1.206972468959745,-1.733455826863927,-1.3377458516055691,-0.7396151115892111,-0.6833314367301146
2020-03-04,-1.0166398575879338,-0.704716565498499,-1.3126444070180738,-2.126458861943343,-1.0623752598131304,-0.9745368766094592,-1.3831764845465964,-2.0184650246562112,-0.8526643086725759,-0.9827618517575587,-1.692309587242855,-1.089755942271964,-0.735379721063424,-0.6649653532426302,-1.0706612696330573,-1.5391973866381674,-1.368816179217213,-1.975801238515469,-0.9920913894198073,-1.2685864293784177,-0.8473789168337236,-2.3263868879028697,-0.6350959356680744,-2.051594111090492,-2.0271541834991122,-1.7227942939433356,-0.9958553723361705,-1.2239049646762854,-1.3942200251081203,-2.724771966107625,-0.7160531257725439,-0.9289639014280865,-1.469789592177092,-0.753480594751125,-1.9764761772598523,-0.9351841891857314,-2.4807392913000004,-1.0940355850388723,-0.8504818829212907,-0.783925133564264,-1.1077270579086393,-2.1735000657130294,-1.8692071555173497,-1.9708926123137915,-0.809031487642974,-2.224129642938014,-1.2337954556546133,-0.9489812455840659,-0.7938746577477525,-0.7684683644251405,-0.6175283741368399,-0.7855694435306447,-2.462843527316873,-1.0137095964089564,-2.492246464720252,-0.9660582399167906,-1.1188493442109346,-0.9766164359920976,-0.6231868321988837,-1.0431142216618914,-0.7771430929893517,-1.2861906847970814,-1.7281186644900097,-1.2711057546315172,-1.0408628963866584,-1.2362221159179763,-0.8543679546547371,-1.1203890957179172,-1.1066308036418067,-1.3403795049966447,-1.3716215089084571,-1.9046227696661513,-0.8257890120471203,-1.9359000948631189,-1.79058182002509,-1.3748236057747625,-1.4503495940248938,-2.3824504701678175,-2.5462611896209877,-1.1320885540248822,-0.993804891752761,-1.6775258536025206,-0.7775421817860446,-0.977940577905038,-1.333975401807233,-1.8281894425052156,-1.206962004116956,-1.733455826863927,-1.3377458516055691,-0.7396151115892111,-0.6833314367301146
2020-03-05,-1.0161975587049186,-0.704716565498499,-1.311285533882184,-2.1258198902951166,-1.0622248419026907,-0.9745368766094592,-1.383107232731997,-2.016457665961119,-0.8526643086725759,-0.9827618517575587,-1.6922441526333618,-1.0897438840163516,-0.735379721063424,-0.6649653532426302,-1.0706612696330573,-1.5391973866381674,-1.3684642808989622,-1.9754250047004704,-0.9920913894198073,-1.2685096353024587,-0.8473789168337236,-2.3263868879028697,-0.6350959356680744,-2.051594111090492,-2.0271541834991122,-1.7219613953473625,-0.9958553723361705,-1.2229774295032936,-1.3934546584812915,-2.7077734849119555,-0.7160373722886288,-0.9289639014280865,-1.4651058424156704,-0.7534241820078289,-1.9760796521059565,-0.9350687372407729,-2.473355863563476,-1.0918292995246826,-0.8504818829212907,-0.783925133564264,-1.1077270579086393,-2.1735000657130294,-1.8692071555173497,-1.9708926123137915,-0.809031487642974,-2.219469463048089,-1.2337954556546133,-0.9489812455840659,-0.7938746577477525,-0.7684683644251405,-0.6175283741368399,-0.7855694435306447,-2.4604292103592518,-1.0137095964089564,-2.484679178150846,-0.9658313268194998,-1.1188493442109346,-0.9766164359920976,-0.6231868321988837,-1.0431142216618914,-0.7771430929893517,-1.2861906847970814,-1.7280670228642472,-1.2711057546315172,-1.0408628963866584,-1.2362221159179763,-0.8543679546547371,-1.1203890957179172,-1.106228326180059,-1.3403795049966447,-1.3716215089084571,-1.9034443043349476,-0.8257890120471203,-1.820844189693377,-1.7899879409484198,-1.3748236057747625,-1.449394166503047,-2.380774328055076,-2.5424105328020863,-1.1320885540248822,-0.993804891752761,-1.6775258536025206,-0.7775421817860446,-0.977940577905038,-1.333975401807233,-1.8277206945402822,-1.2069458311781,-1.733455826863927,-1.3377458516055691,-0.7396151115892111,-0.6833314367301146
2020-03-06,-1.0158816309313363,-0.7047101344695689,-1.3104207964320724,-2.1242863583393734,-1.0622248419026907,-0.9745368766094592,-1.383107232731997,-2.013389815879941,-0.8526643086725759,-0.9827618517575587,-1.6919824141953888,-1.0897378548885452,-0.735379721063424,-0.6649653532426302,-1.070367866192163,-1.5391973866381674,-1.3679950831412946,-1.9735438356254773,-0.9920913894198073,-1.2684328412264996,-0.8473789168337236,-2.322185608800964,-0.6350959356680744,-2.051594111090492,-2.0253292010526254,-1.7203868747138795,-0.9958553723361705,-1.2161755049013547,-1.3934546584812915,-2.6924748518358532,-0.7160366562211781,-0.9289639014280865,-1.460382128919083,-0.7533452041672143,-1.975385733086639,-0.9350225564627895,-2.4636831958813845,-1.0903884600052116,-0.8504818829212907,-0.783925133564264,-1.1076652106907416,-2.1735000657130294,-1.8692071555173497,-1.9708926123137915,-0.809031487642974,-2.219469463048089,-1.2337954556546133,-0.9489812455840659,-0.7938309044128395,-0.7684683644251405,-0.6175283741368399,-0.7855694435306447,-2.4580148934016304,-1.0137095964089564,-2.4748088043646637,-0.9658029626823385,-1.1188493442109346,-0.9766164359920976,-0.6231868321988837,-1.0431142216618914,-0.7771430929893517,-1.2861906847970814,-1.727860456361197,-1.2711057546315172,-1.0407964130008207,-1.2362221159179763,-0.8543679546547371,-1.120356748400304,-1.106027087449185,-1.3403795049966447,-1.3716215089084571,-1.8975519776789282,-0.8257849927543653,-1.6847735073236823,-1.7886462141455726,-1.3748236057747625,-1.4485979769015078,-2.3782601148859634,-2.5424105328020863,-1.1320885540248822,-0.993804891752761,-1.6775258536025206,-0.7775421817860446,-0.977940577905038,-1.333900066933997,-1.8272434238850774,-1.2069106312523548,-1.733455826863927,-1.3377458516055691,-0.7396151115892111,-0.6833314367301146
2020-03-07,-1.0158816309313363,-0.704671548295988,-1.3099266607462943,-2.1200691454610796,-1.062024284688771,-0.9745368766094592,-1.383107232731997,-2.009223599720316,-0.8526643086725759,-0.9827618517575587,-1.6918515449764024,-1.089731825760739,-0.7353752904714108,-0.6649022206982361,-1.0700744627512684,-1.5391973866381674,-1.3671739870653763,-1.9729794849029794,-0.992062909576065,-1.2684328412264996,-0.8473789168337236,-2.3151834769644544,-0.6350959356680744,-2.051594111090492,-2.022774225627544,-1.718219056450388,-0.9958553723361705,-1.212156185818391,-1.3926892918544627,-2.6788760668793175,-0.7160352240862767,-0.9289329272272071,-1.4505190790801852,-0.7533452041672143,-1.9748900766442692,-0.9349763756848061,-2.453897324026161,-1.0877319121411875,-0.8504818829212907,-0.783925133564264,-1.1076652106907416,-2.1735000657130294,-1.8692071555173497,-1.9699744499505656,-0.809031487642974,-2.208484753307551,-1.232089172592115,-0.9489812455840659,-0.7938309044128395,-0.7684683644251405,-0.6175283741368399,-0.7855694435306447,-2.455600576444009,-1.0137095964089564,-2.4659254679570997,-0.9658029626823385,-1.1188412211354284,-0.9766164359920976,-0.6231868321988837,-1.0431099164511541,-0.777117562895934,-1.2860136910170268,-1.7276538898581468,-1.2710435026453797,-1.0407631713079017,-1.2362062543514072,-0.8543679546547371,-1.120356748400304,-1.106027087449185,-1.3402864870396347,-1.3708478297577191,-1.8940165816853167,-0.8257849927543653,-1.5578967899789669,-1.7869378953200892,-1.3748236057747625,-1.4467189694418756,-2.368035647998239,-2.5395225401879102,-1.1300454398388156,-0.993804891752761,-1.6775258536025206,-0.7775421817860446,-0.977940577905038,-1.333900066933997,-1.82680876668123,-1.2068606854117705,-1.733455826863927,-1.334547520240738,-0.7396151115892111,-0.6833314367301146
2020-03-08,-1.0158816309313363,-0.7046651172670578,-1.3085677876104045,-2.1168742872199484,-1.0616733095644117,-0.9745368766094592,-1.383107232731997,-2.00820098302659,-0.8526643086725759,-0.9824262121852942,-1.691720675757416,-1.089731825760739,-0.7353752904714108,-0.6649022206982361,-1.069781059310374,-1.5391973866381674,-1.3663528909894578,-1.9714745496429849,-0.992062909576065,-1.2684328412264996,-0.8473789168337236,-2.3151834769644544,-0.6350959356680744,-2.051594111090492,-2.022774225627544,-1.7170438707601796,-0.9958553723361705,-1.2056634396074493,-1.3915412419142195,-2.661877585683648,-0.7160330758839247,-0.9289329272272071,-1.4419188832725236,-0.7531646833886665,-1.9747909453557952,-0.9348378333508559,-2.438212256926593,-1.0856156790969647,-0.8504818829212907,-0.783925133564264,-1.1075724398638953,-2.171163681294817,-1.8692071555173497,-1.9699744499505656,-0.809031487642974,-2.205156053386176,-1.232089172592115,-0.9489812455840659,-0.7938309044128395,-0.7684683644251405,-0.6175283741368399,-0.7855694435306447,-2.455600576444009,-1.0137095964089564,-2.45473904433276,-0.9658029626823385,-1.1188412211354284,-0.9766164359920976,-0.6230459842891357,-1.0431099164511541,-0.7771047978492251,-1.2859694425720132,-1.7272407568520463,-1.271022751983334,-1.0405637211503886,-1.2362062543514072,-0.8543679546547371,-1.1203405747414974,-1.106027087449185,-1.3402864870396347,-1.369300471456243,-1.8904811856917052,-0.8257809734616105,-1.4614914995741832,-1.784518387970692,-1.3748236057747625,-1.445667999167844,-2.3634262571881988,-2.5395225401879102,-1.1300454398388156,-0.993804891752761,-1.6775258536025206,-0.7775421817860446,-0.977940577905038,-1.3332973879481103,-1.8261184287692374,-1.2068154963179083,-1.733455826863927,-1.3217541947814133,-0.7396151115892111,-0.6833314367301146
2020-03-09,-1.015692074267187,-0.7046458241802674,-1.3078265840817374,-2.1164909042310125,-1.0608710807087331,-0.9745119013623296,-1.383107232731997,-2.0057770027155355,-0.8526643086725759,-0.9820905726130299,-1.6916116180749272,-1.0897016801217076,-0.7353752904714108,-0.6646496905206598,-1.069781059310374,-1.5391973866381674,-1.3656490943529564,-1.9701577312904897,-0.992062909576065,-1.26840724320118,-0.8473789168337236,-2.3151834769644544,-0.6350959356680744,-2.051594111090492,-2.018759264245272,-1.7123659471389616,-0.9958553723361705,-1.2034991908704686,-1.391158558600805,-2.658477889444514,-0.7160330758839247,-0.9289019530263277,-1.4359802722268986,-0.7530857055480518,-1.9745926827788474,-0.934514567904972,-2.419445520669532,-1.0841298133425104,-0.8504818829212907,-0.783925133564264,-1.1074796690370488,-2.1688272968766045,-1.8692071555173497,-1.9690562875873399,-0.809031487642974,-2.203158833433351,-1.2286766064671182,-0.9489723789967538,-0.7938309044128395,-0.7684683644251405,-0.6175283741368399,-0.7855694435306447,-2.455600576444009,-1.0137095964089564,-2.4475007702228933,-0.9658029626823385,-1.1188412211354284,-0.9766164359920976,-0.6230459842891357,-1.0430840851867316,-0.7770537376623897,-1.2857482003469451,-1.7267759822201834,-1.2709604999971964,-1.0404972377645507,-1.2362062543514072,-0.8543679546547371,-1.1203082274238843,-1.106027087449185,-1.3402864870396347,-1.3677531131547669,-1.8857673243668898,-0.8257769541688555,-1.3963456902543294,-1.7813437010546653,-1.3748236057747625,-1.4442030103010122,-2.357727374004877,-2.5395225401879102,-1.1300454398388156,-0.993804891752761,-1.6775258536025206,-0.7775421817860446,-0.977940577905038,-1.3332973879481103,-1.8256070673529463,-1.206757939682568,-1.733455826863927,-1.292969212497933,-0.7396151115892111,-0.6833314367301146
2020-03-10,-1.015692074267187,-0.7046458241802674,-1.3053559056528468,-2.1127848686713,-1.0593669016043357,-0.9745119013623296,-1.383107232731997,-2.002216781633674,-0.8526643086725759,-0.9820905726130299,-1.6912844450274611,-1.0896835927382889,-0.7353664292873846,-0.6643971603430836,-1.069781059310374,-1.5391973866381674,-1.3647106988376212,-1.9560489632280407,-0.9919774700448383,-1.2683816451758603,-0.8473789168337236,-2.3151834769644544,-0.6350959356680744,-2.051594111090492,-2.0151092993522983,-1.709102810173917,-0.9958553723361705,-1.2000982285694992,-1.3907758752873907,-2.641479408248845,-0.7160259152094178,-0.9289019530263277,-1.4312245877421788,-0.7530857055480518,-1.9745926827788474,-0.934514567904972,-2.396842420767428,-1.0829591312329403,-0.8504818829212907,-0.783925133564264,-1.1074487454281,-2.1618181436219666,-1.8692071555173497,-1.9690562875873399,-0.809031487642974,-2.1971671735748757,-1.2286766064671182,-0.9489723789967538,-0.7938309044128395,-0.7684683644251405,-0.6175283741368399,-0.7855694435306447,-2.455600576444009,-1.0136612615541247,-2.439933483653487,-0.9657462344080158,-1.1187599903803673,-0.9765871849860615,-0.6230459842891357,-1.0430754747652575,-0.776760141588086,-1.2854827096768633,-1.7263112075883202,-1.2708982480110589,-1.040430754378713,-1.2362062543514072,-0.8543679546547371,-1.120275880106271,-1.106027087449185,-1.3402864870396347,-1.3677531131547669,-1.8857673243668898,-0.8257608769978357,-1.3619339925894067,-1.7756835202251668,-1.3748236057747625,-1.4409864043107945,-2.3542074755681193,-2.5395225401879102,-1.1300454398388156,-0.9931271365760151,-1.6775258536025206,-0.7775421817860446,-0.977940577905038,-1.3327700438354595,-1.82512127400747,-1.2066628047481216,-1.733455826863927,-1.2801758870386084,-0.7396151115892111,-0.6833314367301146
