iter	Passed	Remaining
0	1	5264
1	1	4652
2	2	4123
3	3	4045
4	3	3840
5	4	3809
6	5	3741
7	5	3570
8	6	3542
9	6	3484
10	7	3466
11	8	3470
12	8	3405
13	9	3422
14	9	3310
15	10	3357
16	11	3373
17	12	3352
18	12	3292
19	13	3240
20	13	3148
21	13	3071
22	14	3032
23	14	3001
24	15	3014
25	15	2985
26	16	2965
27	16	2941
28	17	2915
29	17	2890
30	17	2868
31	18	2814
32	18	2784
33	18	2768
34	19	2750
35	19	2735
36	20	2723
37	20	2709
38	21	2718
39	21	2695
40	22	2674
41	22	2635
42	22	2625
43	23	2616
44	23	2605
45	24	2597
46	24	2578
47	24	2569
48	25	2551
49	25	2543
50	26	2536
51	26	2531
52	26	2520
53	27	2515
54	27	2511
55	28	2510
56	28	2504
57	29	2487
58	29	2482
59	30	2482
60	30	2466
61	30	2466
62	31	2461
63	31	2457
64	32	2454
65	32	2444
66	33	2445
67	33	2446
68	34	2443
69	34	2438
70	34	2425
71	35	2421
72	35	2418
73	36	2414
74	36	2412
75	37	2408
76	37	2405
77	38	2402
78	38	2400
79	38	2398
80	39	2392
81	39	2390
82	40	2388
83	40	2385
84	41	2382
85	41	2380
86	42	2377
87	42	2374
88	43	2373
89	43	2372
90	43	2368
91	44	2366
92	44	2364
93	45	2361
94	45	2359
95	46	2353
96	46	2351
97	46	2345
98	47	2347
99	47	2346
100	48	2346
101	48	2345
102	49	2343
103	49	2341
104	50	2339
105	50	2339
106	51	2336
107	51	2334
108	51	2333
109	52	2331
110	52	2329
111	53	2327
112	53	2325
113	54	2324
114	54	2318
115	54	2314
116	55	2312
117	55	2304
118	56	2303
119	56	2301
120	57	2300
121	57	2299
122	57	2299
123	58	2297
124	58	2296
125	59	2295
126	59	2294
127	60	2292
128	60	2291
129	61	2290
130	61	2290
131	62	2289
132	62	2288
133	62	2286
134	63	2285
135	63	2285
136	64	2280
137	64	2279
138	65	2277
139	65	2276
140	66	2275
141	66	2273
142	66	2272
143	67	2271
144	67	2270
145	68	2269
146	68	2268
147	69	2267
148	69	2266
149	70	2266
150	70	2264
151	70	2263
152	71	2262
153	71	2261
154	72	2262
155	72	2262
156	73	2253
157	73	2250
158	73	2242
159	73	2237
160	74	2237
161	74	2237
162	75	2238
163	75	2239
164	76	2239
165	76	2238
166	77	2237
167	77	2237
168	78	2236
169	78	2235
170	79	2234
171	79	2234
172	79	2231
173	80	2230
174	80	2229
175	81	2227
176	81	2227
177	82	2226
178	82	2225
179	83	2224
180	83	2219
181	83	2219
182	84	2218
183	84	2218
184	85	2218
185	85	2219
186	86	2218
187	86	2217
188	87	2216
189	87	2216
190	87	2215
191	88	2212
192	88	2211
193	89	2211
194	89	2210
195	90	2209
196	90	2209
197	91	2208
198	91	2208
199	92	2208
200	92	2207
201	92	2207
202	93	2207
203	93	2207
204	94	2206
205	94	2206
206	95	2210
207	96	2214
208	96	2215
209	97	2222
210	98	2228
211	98	2228
212	99	2237
213	100	2238
214	100	2239
215	101	2244
216	101	2248
217	102	2252
218	103	2252
219	103	2255
220	104	2256
221	104	2259
222	105	2263
223	106	2264
224	106	2267
225	107	2268
226	107	2270
227	108	2271
228	109	2273
229	109	2275
230	110	2279
231	110	2279
232	111	2280
233	111	2281
234	112	2283
235	113	2285
236	113	2283
237	114	2289
238	115	2291
239	115	2290
240	115	2289
241	116	2288
242	116	2287
243	117	2287
244	117	2286
245	118	2285
246	118	2284
247	119	2283
248	119	2282
249	120	2281
250	120	2279
251	120	2279
252	121	2275
253	121	2274
254	122	2271
255	122	2270
256	123	2270
257	123	2269
258	123	2267
259	124	2267
260	124	2266
261	125	2265
262	125	2264
263	126	2263
264	126	2262
265	127	2261
