Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths,,,Country,Start,End,NaNs in the start,NaNs unitl
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,31-12-19,,0,0,,,Algeria,31-12-19,18-09-20,No,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,01-01-20,,0,0,,,Argentina,11-02-20,18-09-20,No,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,02-01-20,,0,0,,,Australia,31-12-19,18-09-20,No,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,03-01-20,,0,0,,,Austria,31-12-19,18-09-20,No,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,04-01-20,,0,0,,,Bahrain,31-12-19,18-09-20,No,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,05-01-20,,0,0,,,Bangladesh,05-03-20,18-09-20,Yes,14.03
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,06-01-20,,0,0,,,Belarus,31-12-19,18-09-20,No,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,07-01-20,,0,0,,,Belgium,31-12-19,18-09-20,No,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,08-01-20,,0,0,,,Bolivia,12-03-20,18-09-20,No,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,09-01-20,,0,0,,,Bulgaria,08-03-20,18-09-20,No,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,10-01-20,,0,0,,,Canada,31-12-19,18-09-20,No,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,11-01-20,,0,0,,,Chile,04-03-20,18-09-20,No,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,12-01-20,,0,0,,,Colombia,06-03-20,18-09-20,No,
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6,13-01-20,,0,0,,,Costa Rica,07-03-20,18-09-20,No,
