Country,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%)
Algeria,Africa,28.03,1.66,25,1.9,1.83,4044.3,41318142,29,6
Argentina,South America,-38.42,-63.62,14,5.0,3.91,18933.91,44271041,31,11
Australia,Oceania,-25.27,133.78,22,3.84,3.5,44648.71,24598933,37,16
Austria,Europe,47.52,14.55,8,7.37,5.23,45436.69,8809212,44,19
Bahrain,Asia,25.93,50.64,27,2.0,0.92,43290.7,1492584,32,2
Bangladesh,Asia,23.68,90.36,25,0.8,0.47,3523.98,164669751,27,5
Belarus,Europe,53.71,27.95,8,11.0,4.07,17167.97,9507875,40,15
Belgium,Europe,50.5,4.47,10,5.64,3.01,42658.58,11372068,41,19
Bolivia,South America,-16.29,-63.59,20,1.1,0.47,6885.83,11051600,25,7
Bulgaria,Europe,42.73,25.49,13,7.45,4.0,18563.31,7075991,44,21
Canada,North America,56.13,-106.35,-1,2.5,2.54,44017.59,36708083,41,17
Chile,South America,-35.68,-71.54,9,2.11,1.03,22767.04,18054726,35,12
Colombia,South America,4.57,-74.3,25,1.71,1.82,13254.95,49065615,32,8
Costa Rica,North America,9.75,-83.75,26,1.13,1.15,15524.99,4905769,33,10
Croatia,Europe,45.1,15.2,13,5.54,3.13,22669.8,4125700,44,20
Cuba,North America,21.52,-77.78,26,5.2,7.52,8541.21,11484636,43,15
Czech Republic,Europe,49.82,15.47,9,6.63,3.68,32605.91,10591323,43,19
Denmark,Europe,56.26,9.5,-14,2.5,3.66,46682.51,5769603,42,20
Dominican Republic,North America,18.74,-70.16,26,1.6,1.49,14600.86,10766998,27,7
Ecuador,South America,-1.83,-78.18,22,1.5,1.66,10581.94,16624858,28,7
El Salvador,North America,13.79,-88.9,25,1.3,1.6,7292.46,6377853,27,8
Estonia,Europe,58.6,25.01,6,4.69,3.43,29481.25,1315480,42,20
Ethiopia,Africa,9.14,40.49,24,0.3,0.02,1729.93,104957438,19,4
Fiji,Oceania,-16.58,179.41,25,2.3,0.84,8702.98,905502,28,5
Finland,Europe,61.92,25.75,4,3.28,3.2,40585.72,5511303,42,22
