iter	Passed	Remaining
0	12	64415
1	18	46636
2	23	39385
3	27	34015
4	31	31260
5	35	29783
6	39	28166
7	43	26916
8	46	25918
9	50	25276
10	54	24690
11	58	24201
12	61	23774
13	65	23365
14	69	22989
15	72	22653
16	76	22396
17	80	22145
18	83	21927
19	87	21725
20	90	21535
21	94	21386
22	98	21244
23	101	21093
24	105	20959
25	108	20844
26	112	20740
27	116	20640
28	119	20529
29	123	20435
30	126	20355
31	130	20293
32	134	20246
33	138	20194
34	141	20111
35	145	20043
36	148	19972
37	152	19891
38	155	19838
39	159	19774
40	163	19725
41	166	19687
42	170	19644
43	174	19607
44	177	19572
45	181	19535
46	184	19492
47	188	19457
48	192	19424
49	195	19402
50	199	19372
51	203	19341
52	206	19292
53	210	19261
54	213	19232
55	217	19195
56	221	19178
57	224	19157
58	228	19141
59	232	19121
60	235	19103
61	239	19086
62	243	19076
63	247	19059
64	250	19041
65	254	19025
66	257	18949
67	261	18934
68	264	18923
69	269	18945
70	273	18970
71	276	18957
72	280	18943
73	284	18932
74	288	18918
75	291	18908
76	295	18898
77	299	18887
78	303	18886
79	307	18885
80	311	18904
81	315	18900
82	318	18888
83	322	18879
84	326	18867
85	330	18858
86	333	18843
87	337	18838
88	341	18828
89	344	18816
90	348	18809
91	352	18802
92	356	18787
93	359	18782
94	363	18774
95	367	18766
96	371	18756
97	374	18748
98	378	18747
99	382	18747
100	386	18740
101	390	18734
102	393	18724
103	397	18716
104	401	18708
105	405	18700
106	408	18693
107	412	18681
108	416	18675
109	419	18670
110	423	18661
111	427	18655
112	431	18649
113	435	18645
114	438	18634
115	442	18631
116	446	18629
117	450	18620
118	453	18613
119	459	18685
120	463	18678
121	467	18678
122	470	18675
123	475	18689
124	483	18844
125	487	18858
126	491	18868
127	495	18872
128	499	18878
129	504	18881
130	508	18890
131	512	18896
132	516	18918
133	521	18919
134	524	18918
135	528	18914
136	532	18910
137	536	18908
138	540	18905
139	544	18900
140	548	18896
141	552	18895
142	556	18887
143	560	18884
144	563	18880
145	567	18879
146	571	18880
147	575	18877
148	579	18877
149	583	18871
150	587	18865
151	591	18857
152	595	18853
153	599	18850
154	603	18859
155	607	18854
156	611	18849
157	614	18846
158	618	18844
159	622	18839
160	626	18834
161	630	18831
162	634	18829
163	638	18826
164	642	18821
165	646	18816
166	650	18811
167	653	18809
168	657	18806
169	661	18805
170	665	18800
171	669	18796
172	673	18792
173	677	18786
174	681	18779
175	685	18775
176	688	18772
177	692	18772
178	697	18779
179	701	18777
180	705	18770
181	708	18765
182	712	18761
183	716	18756
184	720	18752
185	724	18750
186	728	18746
187	732	18740
188	735	18734
189	739	18727
190	743	18723
191	747	18720
192	751	18714
193	755	18710
194	759	18704
195	763	18702
196	766	18698
197	770	18694
198	774	18692
199	778	18690
200	782	18687
201	786	18683
202	790	18680
203	794	18675
204	798	18672
205	802	18670
206	806	18665
207	810	18662
208	813	18659
209	817	18657
210	821	18653
211	825	18650
212	829	18649
213	833	18645
214	837	18641
215	841	18638
216	845	18636
217	849	18631
218	853	18629
219	857	18625
220	861	18622
221	865	18628
222	869	18626
223	873	18623
224	877	18617
225	881	18615
226	885	18610
227	889	18607
228	892	18603
229	896	18598
230	900	18595
231	904	18591
232	908	18590
233	912	18586
234	916	18583
235	920	18581
236	924	18578
237	928	18574
238	932	18570
239	936	18567
240	940	18562
241	943	18557
242	947	18550
243	951	18546
244	955	18540
245	959	18533
246	962	18528
247	966	18524
248	970	18519
249	975	18525
250	979	18524
251	984	18544
252	991	18605
253	995	18602
254	999	18601
255	1003	18595
256	1007	18590
257	1011	18584
258	1015	18580
259	1018	18573
260	1022	18567
261	1026	18561
262	1030	18556
263	1034	18553
264	1037	18546
265	1041	18541
266	1045	18536
267	1049	18530
268	1053	18524
269	1057	18523
270	1061	18517
271	1064	18511
272	1068	18505
273	1072	18497
274	1076	18494
275	1080	18491
276	1084	18490
277	1088	18487
278	1092	18484
279	1096	18480
280	1100	18475
281	1104	18475
282	1108	18471
283	1112	18468
284	1116	18464
285	1119	18459
286	1123	18456
287	1127	18452
288	1131	18448
289	1135	18443
290	1139	18442
291	1143	18439
292	1147	18436
293	1151	18431
294	1155	18429
295	1159	18428
296	1163	18424
297	1167	18421
298	1171	18421
299	1175	18420
300	1179	18415
301	1185	18446
302	1190	18453
303	1195	18470
304	1199	18467
305	1203	18464
306	1207	18461
307	1212	18466
308	1216	18463
309	1220	18458
310	1223	18453
311	1228	18452
312	1232	18449
313	1236	18446
314	1240	18443
315	1244	18441
316	1248	18437
317	1252	18434
318	1255	18430
319	1259	18426
320	1263	18421
321	1267	18417
322	1271	18412
323	1275	18410
324	1279	18399
325	1283	18394
326	1287	18391
327	1290	18385
328	1294	18381
329	1298	18377
330	1302	18375
331	1307	18379
332	1311	18376
333	1315	18374
334	1319	18372
335	1323	18368
336	1327	18365
337	1331	18363
338	1335	18358
339	1339	18356
340	1343	18353
341	1347	18349
342	1351	18344
343	1354	18339
344	1358	18334
345	1362	18329
346	1366	18324
347	1370	18318
348	1374	18312
349	1378	18309
350	1382	18310
351	1386	18306
352	1390	18300
353	1393	18295
354	1397	18287
355	1401	18281
356	1405	18276
357	1409	18271
358	1412	18265
359	1416	18258
360	1420	18253
361	1425	18267
362	1429	18262
363	1433	18257
364	1437	18251
365	1440	18244
366	1444	18237
367	1448	18231
368	1452	18228
369	1456	18223
370	1460	18217
371	1464	18213
372	1467	18208
373	1471	18203
374	1475	18198
375	1479	18192
376	1483	18186
377	1486	18181
378	1490	18176
379	1494	18171
380	1498	18166
381	1502	18162
382	1506	18156
383	1510	18152
384	1514	18148
385	1517	18143
386	1521	18138
387	1525	18133
388	1529	18127
389	1533	18122
390	1536	18116
391	1540	18112
392	1544	18106
393	1548	18100
394	1552	18095
395	1555	18089
396	1559	18084
397	1563	18079
398	1567	18074
399	1571	18069
400	1575	18065
401	1578	18059
402	1582	18054
403	1586	18048
404	1590	18043
405	1594	18038
406	1597	18032
407	1601	18026
408	1605	18020
409	1609	18015
410	1613	18010
411	1616	18005
412	1620	17999
413	1624	17994
414	1628	17988
415	1631	17983
416	1635	17977
417	1639	17974
418	1643	17968
419	1647	17963
420	1651	17958
421	1654	17953
422	1658	17947
423	1662	17946
424	1666	17941
425	1670	17936
426	1674	17932
427	1678	17925
428	1681	17921
429	1685	17916
430	1689	17913
431	1693	17908
432	1697	17904
433	1701	17899
434	1705	17894
435	1708	17889
436	1712	17883
437	1716	17879
438	1720	17874
439	1724	17870
440	1728	17865
441	1731	17859
442	1735	17853
443	1739	17848
444	1743	17843
445	1747	17839
446	1750	17833
447	1754	17828
448	1758	17823
449	1762	17817
450	1765	17811
451	1769	17806
452	1773	17802
453	1777	17798
454	1781	17792
455	1785	17788
456	1788	17783
457	1792	17778
458	1796	17772
459	1800	17767
460	1804	17762
461	1807	17756
462	1811	17751
463	1815	17746
464	1819	17742
465	1823	17737
466	1826	17731
467	1830	17726
468	1834	17722
469	1838	17718
470	1842	17713
471	1845	17707
472	1849	17702
473	1853	17697
474	1857	17692
475	1860	17686
476	1864	17682
477	1868	17677
478	1872	17672
479	1876	17667
480	1879	17661
481	1883	17656
482	1887	17650
483	1891	17644
484	1894	17640
485	1898	17635
486	1902	17629
487	1906	17624
488	1910	17619
489	1913	17614
490	1917	17608
491	1921	17605
492	1925	17600
493	1929	17597
494	1933	17594
495	1937	17591
496	1940	17586
497	1944	17581
498	1948	17576
499	1952	17570
500	1955	17564
501	1959	17559
502	1963	17553
503	1967	17549
504	1971	17544
505	1975	17541
506	1978	17537
507	1983	17534
508	1986	17531
509	1990	17527
510	1994	17522
511	1998	17518
512	2002	17515
513	2006	17512
514	2010	17508
515	2014	17504
516	2018	17500
517	2022	17497
518	2026	17495
519	2030	17491
520	2034	17487
521	2038	17483
522	2041	17479
523	2045	17476
524	2049	17473
525	2053	17468
526	2057	17464
527	2061	17460
528	2065	17456
529	2069	17453
530	2073	17449
531	2077	17446
532	2081	17441
533	2084	17437
534	2088	17434
535	2092	17429
536	2096	17426
537	2100	17422
538	2104	17419
539	2108	17415
540	2112	17412
541	2116	17407
542	2120	17403
543	2124	17398
544	2127	17394
545	2131	17390
546	2135	17385
547	2139	17381
548	2143	17376
549	2147	17372
550	2151	17368
551	2155	17369
552	2159	17365
553	2163	17361
554	2167	17356
555	2171	17352
556	2175	17349
557	2178	17345
558	2182	17340
559	2186	17336
560	2190	17332
561	2194	17327
562	2198	17323
563	2201	17319
564	2205	17315
565	2209	17310
566	2213	17306
567	2217	17302
568	2221	17299
569	2225	17296
570	2229	17291
571	2233	17288
572	2237	17283
573	2241	17279
574	2244	17275
575	2248	17272
576	2252	17268
577	2256	17264
578	2260	17259
579	2264	17256
580	2268	17252
581	2272	17247
582	2275	17242
583	2279	17237
584	2283	17233
585	2287	17228
586	2290	17222
587	2294	17218
588	2298	17212
589	2302	17207
590	2305	17202
591	2309	17197
592	2313	17191
593	2316	17186
594	2320	17181
595	2324	17176
596	2328	17171
597	2332	17167
598	2335	17162
599	2339	17158
600	2343	17152
601	2347	17147
602	2350	17142
603	2355	17140
604	2358	17135
605	2362	17130
606	2366	17125
607	2370	17121
608	2373	17116
609	2377	17111
610	2381	17106
611	2385	17102
612	2389	17097
613	2393	17100
614	2397	17096
615	2401	17092
616	2405	17088
617	2409	17083
618	2413	17079
