iter	RMSE
0	5845.450605
1	5753.988452
2	5659.164853
3	5564.919722
4	5477.51714
5	5390.95736
6	5302.003972
7	5221.056587
8	5141.411912
9	5060.324164
10	4975.862422
11	4893.278812
12	4812.486073
13	4734.024543
14	4664.372259
15	4591.717715
16	4520.334991
17	4448.530585
18	4377.462218
19	4307.549507
20	4237.552258
21	4172.362933
22	4107.896608
23	4045.06278
24	3980.531537
25	3918.21831
26	3858.636233
27	3799.737685
28	3745.069048
29	3687.654649
30	3628.924211
31	3571.205576
32	3514.435775
33	3461.071139
34	3409.84654
35	3358.828509
36	3306.820822
37	3258.196143
38	3209.206515
39	3163.371409
40	3117.174371
41	3071.181818
42	3027.13009
43	2981.72117
44	2937.342719
45	2897.192023
46	2854.078786
47	2813.393129
48	2773.405144
49	2734.139216
50	2694.246212
51	2655.534485
52	2617.58117
53	2580.304593
54	2544.950387
55	2509.476525
56	2474.403734
57	2439.528028
58	2407.89882
59	2374.700123
60	2341.497694
61	2308.292823
62	2275.965566
63	2247.063433
64	2218.891475
65	2189.194028
66	2159.388387
67	2132.784561
68	2106.300698
69	2079.018876
70	2053.394614
71	2027.839059
72	2002.495316
73	1978.183344
74	1952.798844
75	1928.140788
76	1905.045944
77	1881.252765
78	1859.456426
79	1836.691605
80	1814.811257
81	1792.828954
82	1771.955082
83	1751.53471
84	1730.616514
85	1710.691758
86	1693.276156
87	1673.770075
88	1655.7692
89	1637.734647
90	1620.401617
91	1602.96158
92	1585.633717
93	1568.928942
94	1552.156037
95	1536.3752
96	1521.408973
97	1505.973643
98	1490.522299
99	1475.499284
100	1461.352183
101	1447.222497
102	1432.894586
103	1418.874452
104	1405.420292
105	1391.787777
106	1379.052094
107	1366.151576
108	1354.572128
109	1342.615733
110	1330.510736
111	1318.571439
112	1307.836392
113	1296.976123
114	1286.4437
115	1275.792936
116	1265.480327
117	1255.053983
118	1244.786442
119	1235.520581
120	1225.99056
121	1216.804102
122	1208.653352
123	1200.073582
124	1191.706592
125	1183.472593
126	1175.475809
127	1167.323294
128	1159.989965
129	1152.567112
130	1145.862543
131	1138.067718
132	1130.490581
133	1123.463083
134	1116.941257
135	1110.702581
136	1104.259067
137	1098.376713
138	1092.079709
139	1086.168755
140	1079.981931
141	1074.368608
142	1068.648857
143	1063.424053
144	1058.640715
145	1053.354788
146	1048.193724
147	1043.005839
148	1038.030531
149	1033.257592
150	1028.234099
151	1023.835028
152	1019.120385
153	1014.40701
154	1009.915995
155	1005.597095
156	1001.377144
157	997.58398
158	993.6003889
159	989.891828
160	986.2384304
161	982.5851898
162	979.0477618
163	975.5935359
164	971.9647291
165	968.8089234
166	965.6394649
167	962.5792951
168	959.5121838
169	956.1995668
170	953.5678491
171	950.4860302
172	947.8650263
173	945.1784715
174	942.6597005
175	940.2283256
176	937.4785308
177	934.8473463
178	932.2392857
179	929.9023705
180	927.3926979
181	924.9543589
182	922.6782337
183	920.558684
184	918.3584388
185	916.3456457
186	914.1758548
187	912.2467965
188	910.5006165
189	908.4264599
190	906.4060002
191	904.5738868
192	902.7144211
193	900.6229839
194	899.0308289
195	897.3671103
196	895.8270333
197	894.0662403
198	892.4474803
199	890.7482869
200	889.2096849
201	887.7816557
202	886.4430016
203	885.1223676
204	883.7989311
205	882.4772103
206	881.2412374
207	879.9407692
208	878.5892531
209	877.2513877
210	876.1054309
211	874.9022641
212	873.5854955
213	872.5072177
214	871.5525033
215	870.5060482
216	869.3171136
217	868.3365165
218	867.148196
219	866.0961946
220	864.8613818
221	864.0459745
222	863.1354104
223	862.3388604
224	861.3628825
225	860.4575686
226	859.5112775
227	858.5647682
228	857.7025214
229	856.7139579
230	855.8503569
231	854.913176
232	854.0914571
233	853.3357487
234	852.5657258
235	851.7364835
236	850.9231753
237	850.0816653
238	849.3394319
239	848.576193
240	847.9903209
241	847.1812922
242	846.5377188
243	845.8254223
244	845.0761677
245	844.4869828
246	843.9194583
247	843.1757161
248	842.5549132
249	841.9944694
250	841.3454202
251	840.718503
252	840.153504
253	839.5413789
254	838.8819865
255	838.3624807
256	837.8770983
257	837.46319
258	836.8799797
259	836.1796255
260	835.6510917
261	835.142667
262	834.5065631
263	833.9154539
264	833.3892963
265	832.6834387
266	832.3057534
267	831.6429923
268	831.1698647
269	830.596643
270	830.0695469
271	829.6098804
272	829.0481675
273	828.6149944
274	828.1362133
275	827.6196847
276	827.0927284
277	826.6310015
278	826.1945765
279	825.781605
280	825.4191666
281	825.0231705
282	824.6669336
283	824.2612104
284	823.8736933
285	823.4494811
286	823.0056407
287	822.614202
288	822.1876968
289	821.720925
290	821.4475052
291	820.8849184
292	820.5852338
293	820.1680819
294	819.8164175
295	819.3994632
296	819.012978
297	818.6604097
298	818.2618606
299	817.7733082
300	817.4556425
301	817.0687234
302	816.7116935
303	816.4396439
304	816.1335184
305	815.8986979
306	815.6878802
307	815.3956917
308	815.1211809
309	814.9351566
310	814.6238847
311	814.420391
312	814.2895643
313	814.0282453
314	813.7209044
315	813.2387655
316	812.9281917
317	812.7249741
318	812.3454377
319	812.0008465
320	811.7619942
321	811.5407225
322	811.1599648
323	810.7960927
324	810.3881506
325	809.9249197
326	809.6541382
327	809.3438082
328	809.1168264
329	808.7821547
330	808.6312824
331	808.3338087
332	807.8982995
333	807.5346971
334	807.2854698
335	807.1318231
336	806.9158925
337	806.5309011
338	806.2054495
339	806.0521886
340	805.8282882
341	805.4404365
342	805.0434571
343	804.861642
344	804.6749233
345	804.4499998
346	804.2228755
347	803.7458963
348	803.5426992
349	803.3394224
350	803.0920295
351	802.8966534
352	802.4789412
353	802.2514531
354	802.1249192
355	801.9981185
356	801.7449194
357	801.5329823
358	801.1596618
359	800.9564995
360	800.7794413
361	800.6147538
362	800.2692474
363	799.8436951
364	799.5629052
365	799.408824
366	798.926589
367	798.7394418
368	798.5883291
369	798.179155
370	797.9179545
371	797.766914
372	797.4999362
373	797.3706504
374	797.3020945
375	797.1515627
376	796.719751
377	796.4397662
378	796.2072722
379	796.0109047
380	795.8013778
381	795.588681
382	795.19296
383	795.076327
384	794.7118391
385	794.5354827
386	794.2288425
387	794.0460386
388	793.8502726
389	793.6158774
390	793.5031691
391	793.3071131
392	793.1183219
393	792.7833218
394	792.5104591
395	792.3268451
396	792.0688887
397	791.9176612
398	791.7681816
399	791.4378243
400	791.2868912
401	791.0323691
402	790.8997221
403	790.817412
404	790.6285667
405	790.2698264
406	790.1549673
407	789.7788353
408	789.4890499
409	789.253065
410	789.0627617
411	788.8164567
412	788.4829322
413	788.2369254
414	788.0785362
415	787.8072271
416	787.454179
417	787.2675132
418	787.1238749
419	786.8428019
420	786.5074438
421	786.3534362
422	786.2328906
423	786.1316327
424	785.7456033
425	785.5417534
426	785.3830913
427	785.0836958
428	784.7244045
429	784.3463454
430	783.9983195
431	783.8182546
432	783.6206161
433	783.3535966
434	783.0262979
435	782.9600894
436	782.6409845
437	782.3427569
438	782.0665142
439	781.8767194
440	781.5930766
441	781.5066491
442	781.1736247
443	781.0445068
444	780.7215945
445	780.6135928
446	780.4955886
447	780.1385519
448	779.9182339
449	779.5682091
450	779.3716646
451	778.9914217
452	778.7411844
453	778.5366881
454	778.368186
455	778.0324815
456	777.8903723
457	777.5984685
458	777.220539
459	776.8984425
460	776.7778423
461	776.6016854
462	776.3867412
463	776.1892794
464	775.9142058
465	775.8034204
466	775.6035593
467	775.2508619
468	775.0876472
469	774.866561
470	774.7097621
471	774.5018257
472	774.2454901
473	773.9327466
474	773.7623591
475	773.5504664
476	773.4442799
477	773.3227402
478	773.1432409
479	773.0767164
480	772.8904561
481	772.7569466
482	772.5392466
483	772.2654402
484	772.1540067
485	772.0282024
