iter	Passed	Remaining
0	2	11840
1	4	12383
2	7	12101
3	9	11900
4	11	11015
5	12	10086
6	12	9249
7	14	8807
8	15	8472
9	17	8549
10	18	8255
11	19	8060
12	20	7845
13	21	7650
14	22	7545
15	24	7489
16	25	7362
17	26	7237
18	27	7193
19	28	7080
20	29	6984
21	30	6934
22	31	6914
23	33	6848
24	34	6774
25	35	6729
26	36	6679
27	37	6645
28	38	6599
29	39	6563
30	40	6513
31	41	6471
32	42	6446
33	43	6410
34	44	6381
35	46	6347
36	47	6357
37	48	6348
38	49	6331
39	50	6302
40	51	6276
41	52	6247
42	54	6234
43	55	6213
44	56	6185
45	57	6205
46	58	6186
47	59	6164
48	60	6149
49	61	6132
50	63	6132
51	64	6107
52	65	6100
53	66	6081
54	67	6085
55	68	6072
56	69	6065
57	71	6052
58	72	6035
59	73	6032
60	74	6020
61	75	6007
62	76	5997
63	77	6003
64	78	5979
65	79	5972
66	81	5971
67	82	5973
68	83	5963
69	84	5950
70	85	5941
71	86	5928
72	87	5927
73	88	5916
74	89	5906
75	90	5895
76	92	5884
77	93	5875
78	94	5862
79	95	5884
80	97	5904
81	98	5893
82	99	5887
83	100	5874
84	101	5853
85	102	5842
86	103	5835
87	104	5828
88	105	5817
89	106	5810
90	107	5815
91	108	5810
92	110	5812
93	111	5807
94	112	5800
95	113	5792
96	114	5783
97	115	5774
98	116	5768
99	117	5777
100	119	5777
101	120	5771
102	121	5766
103	122	5762
104	123	5756
105	124	5751
106	125	5744
107	126	5739
108	128	5743
109	129	5738
110	130	5735
111	131	5729
112	132	5725
113	133	5720
114	134	5716
115	135	5709
116	136	5703
117	137	5708
118	139	5705
119	140	5700
120	141	5712
121	142	5708
122	143	5706
123	145	5703
124	146	5697
125	147	5698
126	148	5695
127	149	5694
128	150	5690
129	151	5683
130	152	5679
131	153	5672
132	155	5672
133	156	5673
134	157	5693
135	159	5690
136	160	5684
137	161	5680
138	162	5676
139	163	5674
140	164	5671
141	165	5659
142	166	5654
143	167	5664
144	169	5665
145	170	5663
146	171	5657
147	172	5653
148	173	5654
149	174	5650
150	175	5645
151	177	5648
152	178	5648
153	179	5644
154	181	5663
155	182	5660
156	184	5682
157	186	5700
158	187	5710
159	189	5719
160	190	5733
161	192	5740
162	193	5747
163	195	5751
164	195	5741
165	197	5738
166	198	5742
167	199	5738
168	200	5734
169	201	5730
170	202	5727
171	204	5732
172	205	5728
173	206	5723
174	207	5718
175	208	5717
176	209	5713
177	210	5708
178	211	5704
179	212	5700
180	213	5697
181	215	5693
182	216	5689
183	217	5686
184	218	5689
185	219	5679
186	220	5686
187	222	5684
188	223	5682
189	224	5678
190	225	5679
191	226	5677
192	228	5679
193	229	5676
194	230	5677
195	231	5676
196	232	5662
197	233	5659
198	234	5659
199	235	5656
200	237	5658
201	238	5657
202	239	5654
203	240	5649
204	241	5646
205	242	5645
206	243	5642
207	244	5640
208	245	5636
209	246	5632
210	248	5633
211	249	5630
212	250	5628
213	251	5631
214	252	5629
215	254	5628
216	255	5625
217	256	5621
218	257	5625
219	258	5625
220	260	5622
221	261	5620
222	262	5617
223	263	5614
224	264	5611
225	265	5609
226	266	5608
227	267	5608
228	269	5605
229	270	5603
230	271	5599
231	272	5597
232	273	5594
233	274	5592
234	275	5589
235	276	5586
236	277	5584
237	279	5583
238	280	5580
239	281	5576
240	282	5576
241	283	5574
242	284	5570
243	285	5569
244	286	5567
245	287	5564
246	289	5563
247	290	5561
248	291	5559
249	292	5556
250	293	5554
251	294	5552
252	295	5541
253	296	5539
254	297	5536
255	298	5536
256	300	5541
257	301	5539
258	302	5537
259	303	5534
260	304	5532
261	306	5538
262	307	5540
263	310	5572
264	312	5578
265	313	5586
266	315	5598
267	317	5602
268	319	5615
269	321	5632
270	322	5629
271	323	5627
272	324	5625
273	325	5621
274	327	5620
275	328	5617
276	329	5616
277	330	5613
278	331	5613
279	332	5611
280	334	5611
281	335	5608
282	336	5605
283	337	5602
284	338	5606
285	339	5603
286	341	5601
287	342	5600
288	343	5597
289	344	5594
290	345	5592
291	346	5589
292	347	5587
293	349	5587
294	350	5583
295	351	5580
296	352	5577
297	353	5575
298	354	5572
299	355	5573
300	356	5571
301	357	5567
302	359	5569
303	360	5567
304	361	5558
305	362	5557
306	363	5556
307	364	5552
308	365	5549
309	366	5546
310	367	5543
311	368	5542
312	369	5540
313	371	5538
314	372	5537
315	373	5535
316	374	5532
317	375	5530
318	376	5528
319	378	5529
320	379	5529
321	380	5528
322	381	5529
323	382	5527
324	384	5525
325	385	5522
326	386	5519
327	387	5518
328	388	5519
329	389	5516
330	390	5513
331	392	5513
332	393	5514
333	394	5511
334	395	5509
335	396	5506
336	397	5504
337	399	5504
338	400	5503
339	401	5506
340	403	5515
341	405	5516
342	406	5516
343	407	5513
344	408	5513
345	409	5513
346	411	5512
347	412	5509
348	413	5507
349	413	5499
350	415	5496
351	416	5494
352	417	5491
353	418	5493
354	419	5492
355	420	5489
356	421	5486
357	423	5488
358	424	5493
359	426	5499
360	428	5502
361	430	5511
362	431	5514
363	432	5509
364	433	5506
365	434	5504
366	435	5502
367	436	5500
368	438	5497
369	439	5497
370	440	5493
371	441	5491
372	442	5488
373	443	5485
374	444	5482
375	445	5480
376	446	5477
377	447	5470
378	449	5478
379	450	5476
380	451	5471
381	452	5468
382	453	5466
383	454	5465
384	456	5467
385	457	5466
386	458	5464
387	459	5464
388	460	5462
389	461	5460
390	463	5458
391	464	5456
392	465	5453
393	466	5451
394	467	5446
395	468	5443
396	469	5442
397	470	5442
398	471	5440
399	472	5438
400	473	5436
401	475	5433
402	476	5431
403	477	5429
404	478	5427
405	479	5424
406	480	5424
407	481	5417
408	482	5415
409	483	5412
410	484	5410
411	485	5409
412	486	5406
413	488	5408
414	489	5405
415	490	5402
416	491	5400
417	492	5398
418	493	5395
419	494	5394
420	495	5391
421	496	5389
422	497	5387
423	499	5388
424	500	5386
425	501	5384
426	502	5385
427	504	5384
428	505	5382
429	506	5380
430	507	5380
431	509	5386
432	511	5391
433	512	5389
434	513	5386
435	514	5384
436	515	5382
437	516	5379
438	517	5377
439	518	5373
440	519	5373
441	520	5371
442	521	5369
443	523	5367
444	524	5364
445	525	5363
446	526	5363
447	527	5360
448	528	5358
449	529	5352
450	530	5350
451	531	5348
452	532	5346
453	533	5346
454	535	5345
455	536	5343
456	537	5341
457	538	5339
458	539	5337
459	540	5335
460	541	5334
461	542	5332
462	543	5330
463	545	5328
464	546	5326
465	547	5324
466	548	5322
467	549	5322
468	550	5320
469	551	5318
470	552	5316
471	553	5314
472	555	5312
473	556	5310
474	557	5309
475	558	5306
476	559	5303
477	560	5302
478	561	5301
479	562	5299
480	563	5296
481	564	5295
482	566	5296
483	567	5295
484	568	5291
485	569	5288
486	570	5289
487	571	5285
488	572	5281
489	573	5279
490	574	5277
491	575	5269
492	576	5267
493	577	5265
494	578	5263
495	579	5264
496	580	5263
497	582	5264
498	583	5262
499	584	5260
500	585	5258
501	586	5256
502	587	5255
503	588	5253
504	590	5253
505	591	5253
506	592	5251
507	593	5249
508	594	5247
509	595	5245
510	596	5243
511	598	5242
512	599	5240
513	600	5241
514	601	5240
515	602	5239
516	604	5238
517	605	5236
518	606	5234
519	607	5232
520	608	5234
521	610	5234
522	611	5234
523	612	5232
524	614	5237
525	616	5241
526	617	5244
527	619	5247
528	621	5251
529	622	5251
530	624	5253
531	625	5256
532	627	5256
533	629	5261
534	630	5262
535	631	5262
536	633	5263
537	634	5265
538	636	5269
539	638	5274
540	640	5275
541	642	5280
542	643	5282
543	645	5288
544	647	5290
545	649	5295
546	651	5299
547	652	5304
548	654	5307
549	656	5312
550	658	5319
551	660	5322
552	662	5329
553	664	5331
554	666	5335
555	667	5338
556	669	5343
557	671	5346
558	673	5349
559	674	5351
560	676	5356
561	678	5360
562	680	5361
563	682	5365
564	683	5367
565	685	5371
566	687	5372
567	688	5373
568	690	5377
569	692	5381
570	694	5386
571	695	5387
572	698	5394
573	700	5400
574	702	5407
575	704	5411
576	706	5411
577	707	5413
578	709	5419
579	711	5423
580	714	5431
581	715	5430
582	717	5432
583	718	5436
584	720	5439
585	721	5437
586	723	5435
587	723	5431
588	725	5432
589	726	5429
590	727	5427
591	728	5425
592	729	5423
593	730	5420
594	732	5419
595	733	5418
596	734	5416
597	735	5415
598	737	5419
599	739	5422
600	741	5424
601	743	5430
602	744	5432
603	746	5430
604	747	5430
605	749	5432
606	750	5431
607	751	5430
608	752	5429
609	754	5427
610	755	5424
611	756	5424
612	757	5420
613	758	5419
614	759	5417
615	761	5416
616	762	5415
617	763	5414
618	764	5413
619	766	5411
620	767	5410
621	768	5408
622	769	5405
623	770	5403
624	771	5400
625	772	5400
626	774	5399
627	775	5397
628	776	5394
629	777	5392
630	778	5390
631	779	5388
632	780	5385
633	781	5383
634	782	5382
635	784	5380
636	785	5378
637	786	5376
638	787	5374
639	788	5372
640	789	5368
641	790	5366
642	791	5363
643	792	5361
644	793	5358
645	794	5356
646	795	5355
647	797	5354
648	798	5351
649	799	5349
650	800	5346
651	801	5344
652	802	5342
653	803	5341
654	804	5339
655	805	5337
656	806	5334
657	808	5332
658	809	5330
659	810	5327
660	811	5324
661	812	5323
662	813	5322
663	814	5319
664	815	5319
665	817	5316
666	818	5315
667	819	5316
668	821	5316
669	822	5314
670	823	5315
671	825	5314
672	826	5313
673	827	5311
674	828	5311
675	830	5309
676	831	5307
677	832	5305
678	833	5305
679	834	5303
680	835	5300
681	836	5298
682	837	5296
683	838	5293
684	839	5291
685	841	5288
686	842	5286
687	843	5285
688	844	5282
689	845	5280
690	846	5278
691	847	5276
692	848	5274
693	849	5272
694	851	5272
695	852	5271
696	854	5272
697	855	5270
698	856	5271
699	858	5270
700	859	5268
701	860	5265
702	861	5263
703	862	5260
704	863	5259
705	864	5257
706	865	5255
707	866	5255
708	867	5253
709	869	5251
710	870	5250
711	871	5250
712	872	5248
713	874	5249
714	875	5247
715	876	5246
716	878	5245
717	879	5245
718	880	5243
719	881	5242
720	883	5242
721	884	5241
722	885	5240
723	887	5239
724	888	5237
725	889	5237
726	890	5235
727	892	5234
728	893	5235
729	894	5234
730	895	5232
731	897	5232
732	898	5230
733	899	5228
734	900	5228
735	902	5226
736	903	5228
737	905	5226
738	906	5225
739	907	5225
740	909	5224
741	910	5222
742	911	5221
743	912	5219
744	913	5218
745	914	5216
746	915	5214
747	917	5212
748	918	5211
749	919	5208
750	920	5207
751	921	5205
752	922	5202
753	923	5201
754	924	5199
755	925	5197
756	926	5195
757	928	5195
758	930	5196
759	931	5195
760	932	5193
761	933	5193
762	935	5192
763	936	5191
764	937	5191
765	939	5190
766	940	5188
767	941	5187
768	942	5186
769	943	5185
770	945	5185
771	946	5184
772	947	5182
773	948	5180
774	950	5179
775	951	5179
776	952	5176
777	953	5176
778	955	5174
779	956	5173
780	957	5171
781	958	5170
782	959	5168
783	961	5168
784	962	5166
785	963	5166
786	964	5165
787	966	5164
788	967	5163
789	969	5165
790	971	5170
791	973	5171
792	975	5174
793	976	5174
794	978	5175
795	980	5176
796	981	5176
797	982	5174
798	984	5174
799	985	5172
800	986	5171
801	987	5169
802	988	5168
803	990	5168
804	991	5166
805	992	5165
806	994	5166
807	995	5164
808	996	5163
809	997	5162
810	999	5160
811	1000	5158
812	1001	5156
813	1002	5155
814	1003	5153
815	1004	5152
816	1006	5151
817	1007	5150
818	1009	5154
819	1011	5156
820	1013	5159
821	1015	5160
822	1016	5161
823	1018	5161
824	1019	5161
825	1021	5160
826	1022	5158
827	1023	5157
828	1025	5158
829	1026	5157
830	1027	5157
831	1029	5156
832	1030	5154
833	1031	5153
834	1033	5152
835	1034	5150
836	1035	5150
837	1036	5148
838	1037	5146
839	1038	5144
840	1039	5142
841	1040	5140
842	1042	5138
843	1043	5137
844	1044	5138
845	1046	5137
846	1047	5135
847	1048	5134
848	1050	5133
849	1051	5132
850	1052	5132
851	1053	5130
852	1055	5130
853	1056	5129
854	1057	5128
855	1059	5127
856	1060	5126
857	1061	5124
858	1062	5122
859	1063	5120
860	1065	5121
861	1066	5119
862	1067	5117
863	1068	5115
864	1069	5113
865	1071	5112
866	1072	5111
867	1073	5109
868	1074	5109
869	1075	5107
870	1077	5106
871	1078	5105
872	1079	5103
873	1080	5102
874	1082	5101
875	1083	5099
876	1084	5099
877	1086	5099
878	1087	5098
879	1088	5097
880	1089	5095
881	1091	5093
882	1092	5092
883	1093	5091
884	1094	5089
885	1095	5088
886	1097	5087
887	1098	5085
888	1099	5084
889	1100	5082
890	1101	5081
891	1103	5081
892	1104	5080
893	1106	5079
894	1108	5083
895	1109	5082
