iter	Passed	Remaining
0	3	16887
1	6	16666
2	9	16517
3	12	16059
4	16	16478
5	18	15753
6	21	15436
7	24	15037
8	26	14689
9	29	14472
10	31	14064
11	32	13530
12	35	13495
13	38	13536
14	39	12966
15	40	12566
16	41	12255
17	43	12059
18	44	11751
19	45	11453
20	47	11233
21	48	11020
22	49	10788
23	51	10600
24	52	10412
25	53	10262
26	54	10056
27	55	9892
28	56	9757
29	58	9627
30	59	9501
31	60	9380
32	61	9270
33	62	9171
34	63	9070
35	65	9030
36	66	8943
37	68	8880
38	69	8803
39	70	8728
40	71	8660
41	72	8616
42	74	8555
43	75	8491
44	76	8393
45	77	8339
46	78	8285
47	79	8243
48	81	8195
49	82	8141
50	83	8092
51	84	8047
52	85	8008
53	87	7969
54	88	7959
55	89	7920
56	90	7881
57	92	7848
58	93	7795
59	94	7767
60	95	7738
61	96	7706
62	98	7688
63	99	7659
64	100	7628
65	101	7599
66	102	7583
67	104	7552
68	105	7525
69	106	7500
70	107	7475
71	108	7452
72	110	7443
73	111	7419
74	112	7400
75	113	7377
76	115	7357
77	116	7338
78	117	7329
79	118	7309
80	120	7291
81	121	7273
82	122	7254
83	123	7233
84	124	7215
85	125	7199
86	127	7183
87	128	7171
88	129	7154
89	130	7125
90	131	7112
91	133	7104
92	134	7090
93	135	7075
94	136	7059
95	137	7047
96	139	7034
97	141	7054
98	143	7109
99	145	7147
100	147	7132
101	148	7153
102	151	7218
103	153	7226
104	154	7215
105	156	7240
106	159	7295
107	161	7295
108	162	7284
109	164	7298
110	166	7352
111	168	7369
112	170	7357
113	171	7369
114	174	7417
115	176	7436
116	177	7426
117	180	7483
118	183	7524
119	184	7509
120	186	7505
121	188	7533
122	190	7571
123	192	7556
124	193	7540
125	195	7571
126	198	7623
127	200	7618
128	201	7611
129	203	7640
130	206	7667
131	209	7716
132	211	7753
133	214	7795
134	216	7786
135	218	7814
136	221	7860
137	222	7849
138	224	7862
139	227	7885
140	229	7904
141	230	7891
142	232	7882
143	234	7917
144	237	7938
145	238	7935
146	242	8008
147	245	8045
148	247	8069
149	250	8107
150	252	8124
151	254	8117
152	257	8144
153	259	8160
154	262	8201
155	264	8217
156	267	8247
157	268	8240
158	271	8256
159	273	8276
160	275	8295
161	278	8326
162	281	8353
163	282	8339
164	284	8326
165	286	8343
166	287	8329
167	290	8359
168	293	8384
169	296	8423
170	298	8434
171	301	8468
172	304	8492
173	307	8524
174	310	8564
175	313	8582
176	316	8616
177	319	8653
178	321	8654
179	324	8694
180	327	8723
181	330	8747
182	333	8783
183	336	8796
184	338	8802
185	341	8839
186	344	8867
187	347	8888
188	349	8906
189	352	8919
190	355	8951
191	358	8970
192	360	8983
193	363	9004
194	366	9023
195	369	9048
196	371	9061
197	374	9083
198	377	9104
199	380	9125
200	383	9144
201	385	9161
202	388	9174
203	390	9170
204	392	9189
205	396	9217
206	398	9224
207	401	9254
208	404	9273
209	407	9291
210	410	9309
211	412	9314
212	415	9332
213	417	9342
214	420	9358
215	423	9369
216	425	9384
217	428	9400
218	431	9426
219	433	9409
220	434	9393
221	435	9379
222	437	9363
223	438	9347
224	439	9329
225	441	9315
226	442	9293
227	443	9277
228	444	9260
229	445	9245
230	447	9229
231	448	9214
232	449	9198
233	450	9182
234	452	9166
235	453	9150
236	454	9134
237	455	9121
238	457	9106
239	458	9090
240	459	9075
241	460	9059
242	461	9043
243	463	9027
244	464	9012
245	465	8995
246	466	8980
247	467	8965
248	469	8950
249	470	8935
250	471	8920
251	472	8905
252	473	8890
253	475	8875
254	476	8863
255	477	8850
256	478	8836
257	480	8822
258	481	8808
259	482	8794
260	483	8773
261	484	8760
262	485	8747
263	486	8734
264	488	8721
265	489	8708
266	490	8695
267	491	8685
268	493	8671
269	494	8659
270	495	8646
271	496	8636
272	497	8622
273	499	8610
274	500	8598
275	501	8585
276	502	8573
277	504	8561
278	505	8550
279	506	8540
280	507	8529
281	509	8520
282	510	8508
283	511	8501
284	513	8490
285	514	8479
286	515	8467
287	517	8461
288	518	8449
289	519	8437
290	520	8426
291	521	8416
292	523	8404
293	524	8393
294	525	8384
295	527	8375
296	528	8364
297	529	8354
298	530	8344
299	531	8333
300	533	8323
301	534	8312
302	535	8302
303	536	8293
304	539	8306
305	540	8296
306	542	8286
307	543	8275
308	544	8265
309	547	8279
310	548	8270
311	549	8259
312	550	8249
313	552	8241
314	554	8250
315	555	8240
316	557	8232
317	558	8221
318	559	8212
319	561	8217
320	563	8209
